event,node,start,end
form start,,1620282205442,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620282205443,1620282208167
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620282208182,1620282214346
question,/aN9yvTNAZJuRBVufebBoSY/location,1620282214355,1620282218894
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620282218911,1620282222732
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620282222740,1620282226298
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620282226312,1620282232218
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/will_to_response_r,1620282232237,1620282235541
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/relationship,1620282235550,1620282248640
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620282248650,1620282251309
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620282251321,1620282254610
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/sex_head_hh,1620282254620,1620282257983
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620282257994,1620282261709
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620282261722,1620282264521
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620282264536,1620282265108
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620282265171,1620282266088
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620282266098,1620282300832
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620282300883,1620282302523
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620282302533,1620282311261
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620282311268,1620282314642
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620282314656,1620282316528
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620282316538,1620282343474
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620282343531,1620282371397
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620282371441,1620282401135
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620282401187,1620282402343
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620282402351,1620282406604
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620282406615,1620282413962
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620282413976,1620282419293
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620282419302,1620282423406
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620282423419,1620282437890
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620282437904,1620282441213
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620282441226,1620282463106
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_services,1620282463158,1620282467954
question,/aN9yvTNAZJuRBVufebBoSY/health_group/why_difficulty_services,1620282467966,1620282472034
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620282472048,1620282477834
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620282477849,1620282481489
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620282481497,1620282483495
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620282483511,1620282486104
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620282486111,1620282488319
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620282488332,1620282494398
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620282494414,1620282499757
