event,node,start,end
form start,,1623839656394,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623839656398,1623839672971
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623839672989,1623839676663
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623839676681,1623839748653
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623839748669,1623839751886
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839751906,1623839786034
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623839786051,1623839794194
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839794211,1623839796822
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839796840,1623839811451
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839811468,1623839814610
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839814619,1623839818622
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839818641,1623840046338
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623840046352,1623840049052
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623840049070,1623840053679
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623840053693,1623840058926
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623840058939,1623840107406
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623840107440,1623840114534
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623840114544,1623840127841
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623840127863,1623840141750
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623840141767,1623840326062
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623840326106,1623840420513
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623840420544,1623840580304
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623840580370,1623840583209
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623840583229,1623840595957
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623840595975,1623840612561
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623840612581,1623840623099
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623840623111,1623840631438
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623840631456,1623840648256
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623840648270,1623840670217
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623840670235,1623840684674
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623840684691,1623840713305
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623840713318,1623840715545
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623840715561,1623840734243
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623840734259,1623840745896
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623840745911,1623840757145
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623840757160,1623840774397
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623840774416,1623840778844
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623840778862,1623840780428
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623840780449,1623840833524
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623840833540,1623840837245
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623840837262,1623840851418
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623840851437,1623840854448
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623840854467,1623840864594
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623840864610,1623840866978
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623840866995,1623840871193
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623840871206,1623840877839
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623840877856,1623840887181
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623840887197,1623840919930
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623840919972,1623840945386
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623840945404,1623840953444
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623840953466,1623840999055
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623840999070,1623841002099
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623841002118,1623841010393
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623841010410,1623841033157
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623841033184,1623841038356
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623841038369,1623841049930
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623841049948,1623841189144
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623841189162,1623841195030
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623841195049,1623841197231
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623841197248,1623841212631
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623841212653,1623841218830
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623841218840,1623841245585
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623841245602,1623841250848
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623841250868,1623841275459
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623841275478,1623841282145
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623841282167,1623841295833
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623841295853,1623841302107
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623841302125,1623841332154
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623841332175,1623841338593
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623841338612,1623841367891
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623841367907,1623841394371
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623841394391,1623841400372
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623841400388,1623841406772
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623841406789,1623841481790
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623841481820,1623841493458
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623841493474,1623841505620
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623841505638,1623841518233
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623841518248,1623841525917
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623841525933,1623841548445
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623841548469,1623841569812
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623841569827,1623841610546
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623841610594,1623841622341
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623841622360,1623841632504
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623841632518,1623841639740
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623841639753,1623841647285
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623841647307,1623841649052
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623841649067,1623841652283
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623841652299,1623841654849
