event,node,start,end
form start,,1623824545743,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623824545747,1623824562122
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623824562157,1623824565023
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623824565029,1623824576178
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623824576185,1623824578994
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623824579006,1623824592869
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623824592874,1623824596140
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623824596147,1623824600453
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623824600466,1623824669402
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623824669407,1623824674583
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623824674590,1623824703931
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623824703940,1623824705958
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623824705966,1623824713944
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623824713952,1623824717379
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623824717385,1623824742268
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623824742276,1623824748321
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623824748327,1623824895183
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623824895216,1623824897490
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623824897496,1623824900635
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623824900641,1623824913322
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623824913330,1623824922150
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623824922156,1623824927722
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623824927728,1623824933848
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623824933853,1623825074774
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623825074801,1623825201103
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623825201131,1623825309219
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623825309251,1623825315984
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623825315991,1623825317554
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623825317561,1623825345815
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623825345823,1623825392379
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623825392384,1623825401955
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623825401961,1623825493424
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623825493430,1623825512114
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623825512122,1623825521066
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623825521074,1623825536752
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623825536759,1623825548614
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623825548619,1623825550129
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623825550135,1623825574450
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623825574457,1623825593668
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623825593675,1623825613572
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623825613578,1623825639114
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623825639121,1623825640594
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623825640600,1623825651931
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623825651940,1623825664101
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623825664107,1623825670755
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623825670763,1623825674157
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623825674164,1623825682892
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623825682897,1623825693364
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623825693371,1623825701500
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623825701508,1623825707021
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623825707028,1623825729738
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623825729754,1623825769384
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623825769389,1623825819027
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623825819034,1623825829726
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623825829732,1623825831071
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623825831078,1623825845542
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623825845549,1623825901842
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623825901854,1623825932422
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623825932428,1623825935450
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623825935458,1623825937705
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623825937715,1623825941979
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623825941987,1623825986634
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623825986640,1623825988057
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623825988064,1623825998930
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623825998941,1623826008154
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623826008161,1623826048465
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623826048473,1623826049759
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623826049767,1623826050272
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623826050280,1623826051221
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623826051230,1623826079611
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623826079617,1623826089757
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623826089763,1623826108059
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623826108065,1623826111605
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623826111618,1623826113816
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623826113822,1623826141876
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623826141882,1623826163964
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623826163970,1623826179051
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623826179057,1623826180472
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623826180479,1623826209286
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623826209295,1623826217001
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623826217007,1623826227001
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623826227008,1623826235286
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623826235294,1623826276866
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623826276873,1623826280489
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623826280495,1623826282259
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623826282265,1623826297701
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623826297708,1623826305208
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623826305214,1623826340769
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623826340775,1623826393588
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623826393595,1623826405475
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623826405482,1623826466763
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623826466771,1623826508485
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623826508506,1623826524381
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623826524389,1623826532758
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623826532768,1623826587814
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623826587819,1623826594362
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623826594368,1623826628512
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623826628534,1623826634413
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623826634420,1623826690050
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623826690073,1623826692371
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623826692378,1623826729029
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623826729048,1623826734799
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623826734806,1623826758471
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623826758478,1623826760152
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623826760158,1623826775901
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623826775907,1623826811692
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623826811699,1623826818100
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623826818106,1623826832015
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623826832022,1623826834686
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623826834693,1623826882828
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623826882835,1623826894370
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623826894377,1623826958319
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623826958327,1623826963788
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623826963794,1623826965119
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623826965126,1623827051282
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623827051290,1623827051612
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623827051620,1623827051998
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623827052006,1623827052892
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623827052899,1623827054321
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623827054328,1623827055593
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623827055601,1623827056810
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623827056816,1623827058069
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623827058075,1623827064894
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_type,1623827064899,1623827080766
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_satisfaction,1623827080772,1623827092637
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_workers_satisfied,1623827092642,1623827205736
