event,node,start,end
form start,,1623919384573,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623919384576,1623919412354
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623919412360,1623919414941
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623919414948,1623919416526
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623919416533,1623919418886
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623919418890,1623919431049
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623919431055,1623919433417
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623919433428,1623919457707
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623919457716,1623919468176
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623919468185,1623919469575
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623919469581,1623919471861
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623919471866,1623919474583
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623919474590,1623919476910
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623919476916,1623919479311
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623919479317,1623919486884
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623919486890,1623919497533
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623919497540,1623919502323
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623919502329,1623919504743
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623919504748,1623919638344
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623919638374,1623919650284
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623919650289,1623919654408
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623919654414,1623919662877
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623919662886,1623919669422
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623919669428,1623919671163
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623919671169,1623919672365
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623919672371,1623919674688
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623919674694,1623919679136
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623919679144,1623919789506
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623919789531,1623919854754
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623919854780,1623919860188
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623919860217,1623919866264
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623919866288,1623919975689
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623919975720,1623919980904
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623919980911,1623919982140
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623919982145,1623920000877
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920000884,1623920030820
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623920030826,1623920048825
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623920048832,1623920050427
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623920050435,1623920056331
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required_other,1623920056337,1623920116606
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623920116613,1623920118241
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required_other,1623920118248,1623920119882
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623920119886,1623920132003
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623920132008,1623920143745
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623920143751,1623920177826
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623920177831,1623920180205
