event,node,start,end
form start,,1623915565319,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915565321,1623915568693
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915568707,1623915570876
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915570891,1623915592394
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915592408,1623915599586
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915599607,1623915619270
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623915619286,1623915621813
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915621829,1623915629162
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623915629178,1623915629794
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915629812,1623915631257
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915631273,1623915632627
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915632641,1623915633954
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915633974,1623915636201
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915636218,1623915637371
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915637381,1623915637879
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915637894,1623915638451
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915638469,1623915639179
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915639192,1623915639980
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623915639997,1623915641147
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915641170,1623915642663
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623915642679,1623915645194
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623915645202,1623915647341
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623915647352,1623915657509
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623915657522,1623915660747
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623915660766,1623915663951
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623915663963,1623915668272
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623915668294,1623915670591
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623915670604,1623915673096
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623915673111,1623915675182
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915675192,1623915679449
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623915679465,1623915838554
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915838617,1623915844238
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915844259,1623915848025
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915848045,1623915853735
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915853744,1623915962284
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623915962368,1623916091694
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916091751,1623916191505
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916191580,1623916195210
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916195232,1623916196184
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623916196259,1623916197454
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916197503,1623916198584
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916198640,1623916199425
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916199441,1623916215786
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916215854,1623916220326
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623916220346,1623916227253
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916227268,1623916239364
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623916239379,1623916246885
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916246901,1623916256336
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623916256354,1623916264515
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623916264537,1623916274141
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623916274159,1623916283653
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623916283662,1623916291128
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623916291137,1623916292337
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623916292353,1623916311798
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916311817,1623916332541
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916332559,1623916356347
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916356363,1623916361803
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916361821,1623916371870
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916371885,1623916378541
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916378555,1623916396075
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623916396096,1623916401008
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623916401027,1623916409576
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623916409597,1623916415232
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623916415253,1623916427021
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623916427035,1623916442091
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623916442136,1623916448640
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623916448658,1623916451691
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623916451711,1623916460029
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623916460045,1623916462261
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623916462280,1623916465964
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623916465980,1623916485462
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623916485514,1623916488645
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623916488661,1623916489920
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623916489940,1623916498988
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623916499010,1623916527010
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623916527032,1623916536172
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623916536194,1623916544526
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623916544543,1623916548526
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623916548546,1623916666338
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623916666370,1623916668873
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623916668893,1623916713201
jump,,1623916713203,1623916718133
end screen,,1623916718177,1623916747532
constraint error,,1623916747652,
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623916747677,1623916752119
jump,,1623916752120,1623916755181
end screen,,1623916755244,1623916756757
form save,,1623916756973,
form exit,,1623916756973,
form resume,,1623916763247,
jump,,1623916763247,1623916824653
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623916823229,1623916824653
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623916824677,1623916825826
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623916825847,1623916827159
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623916827182,1623916828572
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623916828628,1623916829245
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623916829284,1623916830263
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623916830314,1623916830840
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623916830859,1623916831416
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623916831430,1623916832101
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623916832117,1623916877615
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623916877656,1623916879619
