event,node,start,end
form start,,1623830142886,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623830142889,1623830147274
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623830147280,1623830149697
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623830149702,1623830159143
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623830159149,1623830161667
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623830161673,1623830293549
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623830293556,1623830298672
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623830298685,1623830301193
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623830301199,1623830304416
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623830304421,1623830363304
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623830363310,1623830368004
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623830368011,1623830370638
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623830370643,1623830433056
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623830433063,1623830435612
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623830435618,1623830439785
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623830439792,1623830443554
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623830443573,1623830451181
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623830451186,1623830569455
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623830569534,1623830580808
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623830580815,1623830585071
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623830585079,1623830592444
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623830592450,1623830598261
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623830598266,1623830603164
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623830603171,1623830614930
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623830614939,1623830740900
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623830740925,1623830825911
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623830825934,1623830935555
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623830935590,1623830955564
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623830955572,1623830957061
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623830957067,1623830983994
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623830984004,1623831002042
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623831002049,1623831039384
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623831039392,1623831051187
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623831051192,1623831052538
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623831052546,1623831064960
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623831064968,1623831096320
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623831096325,1623831141830
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623831141838,1623831143165
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623831143171,1623831149112
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623831149119,1623831161497
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623831161505,1623831169531
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623831169537,1623831172149
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623831172155,1623831175293
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623831175300,1623831186891
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623831186898,1623831200157
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623831200164,1623831352750
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623831352757,1623831362845
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623831362867,1623831365945
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623831365951,1623831386719
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623831386726,1623831388932
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623831388936,1623831397372
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623831397380,1623831405090
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623831405097,1623831406424
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623831406430,1623831414087
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623831414093,1623831466059
