event,node,start,end
form start,,1623955500867,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623955500868,1623955506105
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623955506126,1623955508504
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623955508524,1623955530674
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623955530688,1623955537073
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623955537088,1623955564066
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623955564083,1623955567901
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623955567923,1623955570220
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623955570239,1623955572716
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623955572735,1623955576096
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623955576107,1623955578700
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623955578722,1623955581386
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623955581402,1623955583914
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623955583925,1623955598428
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623955598447,1623955601034
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623955601055,1623955603648
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623955603658,1623955606581
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623955606601,1623955612767
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623955612784,1623955665150
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623955665185,1623955667454
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623955667474,1623955672632
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623955672648,1623955679145
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623955679162,1623955816365
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623955816407,1623955993444
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623955993497,1623956070158
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623956070232,1623956071511
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623956071535,1623956079625
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623956079641,1623956088467
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623956088483,1623956097833
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623956097850,1623956103502
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623956103520,1623956113436
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623956113454,1623956121771
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623956121787,1623956123747
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623956123764,1623956132684
