event,node,start,end
form start,,1623834449753,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623834449755,1623834457689
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623834457698,1623834459978
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623834459983,1623834465404
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623834465410,1623834468684
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623834468693,1623834478225
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623834478231,1623834481085
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623834481093,1623834484118
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623834484125,1623834488210
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623834488214,1623834493029
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623834493035,1623834499307
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623834499314,1623834501867
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623834501873,1623834505499
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623834505507,1623834507618
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623834507625,1623834510110
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623834510116,1623834513424
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623834513430,1623834519971
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623834519983,1623834652401
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623834652433,1623834657756
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623834657762,1623834662560
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623834662569,1623834679874
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623834679882,1623834684837
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623834684848,1623834686869
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623834686878,1623834691674
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623834691681,1623834774045
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623834774072,1623834853195
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623834853219,1623834934698
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623834934727,1623834943941
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623834943947,1623834953565
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623834953571,1623834955108
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623834955116,1623834965975
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623834965984,1623834985628
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623834985634,1623834997458
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623834997464,1623835006820
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623835006827,1623835017288
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623835017296,1623835049207
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623835049213,1623835052907
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623835052913,1623835055325
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623835055330,1623835058514
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1623835058520,1623835083111
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_communicating,1623835083118,1623835101169
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623835101175,1623835102908
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623835102914,1623835115268
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623835115274,1623835129693
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623835129702,1623835135092
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623835135100,1623835138354
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623835138359,1623835155575
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623835155581,1623835166372
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623835166380,1623835168633
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623835168639,1623835176893
