event,node,start,end
form start,,1622715023762,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622715023762,1622715026015
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622715026032,1622715028861
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622715028875,1622715031185
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622715031205,1622715033792
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622715033806,1622715035316
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622715035332,1622715036580
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622715036593,1622715038132
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622715038148,1622715040104
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622715040119,1622715041676
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622715041714,1622715046782
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622715046797,1622715048365
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622715048379,1622715051206
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622715051220,1622715056343
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622715056428,1622715057668
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622715057681,1622715072049
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622715072117,1622715073226
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622715073240,1622715075358
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622715075372,1622715076335
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622715076349,1622715090402
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622715090452,1622715104083
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622715104142,1622715125952
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622715126027,1622715126924
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622715126943,1622715130335
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622715130345,1622715131811
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1622715131824,1622715133424
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1622715133440,1622715134527
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_barriers,1622715134544,1622715135699
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622715135712,1622715137634
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_barriers,1622715137651,1622715138699
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1622715138714,1622715139698
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1622715139714,1622715155048
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1622715155064,1622715160770
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1622715160785,1622715163166
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1622715163184,1622715165822
