event,node,start,end
form start,,1623915063066,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915063071,1623915106808
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915106835,1623915109229
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915109233,1623915121088
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915121093,1623915124249
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915124257,1623915137728
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915137733,1623915140012
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623915140017,1623915143262
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623915143268,1623915146761
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623915146766,1623915151776
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623915151782,1623915173922
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623915173933,1623915176364
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623915176369,1623915180746
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915180754,1623915182941
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623915182946,1623915384481
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915384511,1623915392309
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915392316,1623915398960
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915398966,1623915400366
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915400372,1623915408750
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915408756,1623915416312
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915416318,1623915422156
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915422162,1623915425518
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623915425525,1623915427510
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915427516,1623915563285
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623915563312,1623915659192
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623915659214,1623915764300
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623915764329,1623915824985
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623915824996,1623915857473
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623915857479,1623915859825
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623915859831,1623915867972
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623915867976,1623915878731
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623915878737,1623915888864
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623915888871,1623915916225
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623915916230,1623915935791
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623915935796,1623915947005
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623915947011,1623915966910
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623915966917,1623915979787
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623915979792,1623915981631
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623915981637,1623915989793
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623915989799,1623915991369
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623915991375,1623915993847
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623915993852,1623915994997
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623915995007,1623916012073
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623916012081,1623916014815
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623916014823,1623916022690
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916022701,1623916048052
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916048059,1623916050890
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916050898,1623916052188
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916052194,1623916059621
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623916059629,1623916066176
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916066181,1623916083493
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623916083499,1623916108814
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916108820,1623916118386
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916118391,1623916125637
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623916125643,1623916128997
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623916129004,1623916145341
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623916145349,1623916148738
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623916148745,1623916152869
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623916152876,1623916163949
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623916163966,1623916166879
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623916166887,1623916178716
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623916178723,1623916196258
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623916196264,1623916197894
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623916197899,1623916209561
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623916209566,1623916226711
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623916226725,1623916229867
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623916229872,1623916237900
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623916237906,1623916282644
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623916282650,1623916284268
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623916284274,1623916297369
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623916297380,1623916300983
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623916300996,1623916313933
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623916313940,1623916318407
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623916318413,1623916343591
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623916343597,1623916353345
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623916353351,1623916360672
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623916360678,1623916381053
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623916381067,1623916410763
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623916410770,1623916412148
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623916412154,1623916416531
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623916416538,1623916422121
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623916422126,1623916424426
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623916424432,1623916425665
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623916425672,1623916466165
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623916466172,1623916471955
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623916471963,1623916501097
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623916501103,1623916513911
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623916513917,1623916532096
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623916532103,1623916542790
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623916542797,1623916555774
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623916555793,1623916561654
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623916561660,1623916566316
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623916566323,1623916575576
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623916575583,1623916604135
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623916604142,1623916606325
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623916606330,1623916611901
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623916611906,1623916706341
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623916706359,1623916721573
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623916721581,1623916724512
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623916724521,1623916749306
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/other_employment_barriers,1623916749314,1623916793448
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623916793456,1623916797175
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623916797181,1623916812305
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623916812315,1623916891888
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood_other,1623916891896,1623916935431
