event,node,start,end
form start,,1623843384296,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623843384298,1623843387464
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623843387483,1623843389045
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623843389057,1623843392642
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623843392657,1623843395483
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623843395500,1623843405846
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623843405868,1623843407607
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623843407620,1623843408976
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623843408984,1623843410623
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623843410635,1623843477641
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623843477653,1623843479736
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623843479753,1623843482988
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623843483006,1623843484530
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623843484549,1623843487537
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623843487553,1623843492413
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623843492430,1623843509911
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623843509969,1623843510962
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623843510970,1623843512414
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623843512433,1623843514434
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623843514446,1623843526859
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623843526918,1623843537338
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623843537404,1623843551215
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623843551284,1623843552120
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623843552142,1623843554705
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623843554726,1623843557126
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623843557140,1623843559263
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623843559286,1623843560048
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623843560065,1623843561092
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623843561105,1623843562921
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623843562933,1623843563832
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623843563850,1623843565818
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623843565834,1623843567016
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623843567037,1623843568213
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623843568231,1623843568769
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623843568790,1623843569393
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623843569408,1623843574402
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623843574427,1623843575870
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623843575893,1623843576730
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623843576751,1623843578143
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623843578155,1623843579327
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623843579340,1623843581013
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623843581025,1623843582699
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623843582717,1623843584395
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623843584407,1623843586114
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623843586124,1623843588729
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623843588751,1623843591731
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623843591749,1623843593663
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623843593686,1623843598703
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623843598748,1623843602148
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623843602168,1623843607295
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623843607331,1623843610098
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623843610116,1623843611898
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623843611907,1623843614802
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623843614810,1623843615659
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623843615676,1623843617148
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623843617158,1623843621968
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623843622021,1623843624918
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623843624929,1623843627033
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623843627049,1623843628491
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623843628504,1623843630842
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623843630858,1623843631749
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623843631762,1623843633049
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623843633080,1623843635345
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623843635363,1623843636604
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843636621,1623843637924
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623843637936,1623843639694
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623843639708,1623843641067
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623843641078,1623843642253
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623843642272,1623843643556
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623843643569,1623843645051
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623843645066,1623843645608
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623843645620,1623843648725
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623843648740,1623843649541
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623843649558,1623843656341
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623843656363,1623843658200
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623843658220,1623843660621
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623843660631,1623843670045
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623843670060,1623843682888
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623843682934,1623843683823
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623843683832,1623843689115
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623843689174,1623843692263
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623843692279,1623843694184
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623843694205,1623843696674
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623843696693,1623843698116
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623843698133,1623843699673
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623843699685,1623843700629
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623843700706,1623843719810
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623843719820,1623843726532
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623843726575,1623843727638
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623843727660,1623843730423
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623843730490,1623843735762
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623843735770,1623843737275
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623843737286,1623843738249
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623843738269,1623843739568
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623843739582,1623843740964
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623843740976,1623843742238
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623843742252,1623843743352
question,/ahLxPkShSJwCFf2hsNoEbs/protection/demolition_order,1623843743368,1623843745231
