event,node,start,end
form start,,1623957475790,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623957475791,1623957481152
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623957481168,1623957483397
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623957483413,1623957628043
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623957628061,1623957723950
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623957723964,1623957744717
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623957744727,1623957891901
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623957891921,1623957894865
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623957894883,1623957911027
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623957911044,1623957914870
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623957914882,1623958104961
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623958104981,1623958108082
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623958108097,1623958113093
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623958113107,1623958254068
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623958254084,1623958261148
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623958261164,1623958263381
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623958263398,1623958266191
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623958266207,1623958271178
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623958271192,1623958347900
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623958347937,1623958349392
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623958349410,1623958353979
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623958353995,1623958363036
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623958363052,1623958520164
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623958520199,1623958666296
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623958666351,1623958826863
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623958826928,1623958829520
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623958829541,1623958841390
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623958841403,1623958855181
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623958855198,1623958879292
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required_other,1623958879311,1623958885668
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623958885681,1623958896927
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623958896941,1623958917311
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623958917324,1623958927112
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623958927126,1623958953090
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623958953106,1623958969180
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623958969195,1623958971003
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623958971019,1623958995131
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623958995146,1623958999530
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623958999544,1623959004137
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623959004153,1623959036373
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623959036388,1623959038563
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623959038581,1623959046591
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623959046604,1623959061383
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623959061399,1623959064368
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623959064388,1623959065536
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623959065554,1623959068184
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623959068205,1623959076358
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623959076375,1623959085366
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623959085384,1623959106639
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623959106656,1623959107799
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623959107812,1623959113684
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623959113700,1623959115048
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623959115063,1623959122483
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623959122499,1623959131924
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623959131941,1623959149249
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623959149269,1623959162659
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623959162677,1623959193969
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623959193984,1623959221695
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623959221735,1623959251161
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623959251176,1623959258585
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623959258605,1623959278194
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623959278209,1623959280157
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623959280174,1623959286170
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623959286183,1623959303306
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623959303330,1623959307698
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623959307714,1623959326856
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623959326875,1623959342501
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623959342517,1623959360377
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623959360396,1623959363145
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623959363166,1623959407090
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623959407114,1623959419690
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623959419705,1623959433977
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623959433993,1623959456876
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623959456893,1623959476492
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623959476514,1623959488795
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623959488814,1623959508502
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623959508519,1623959529551
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623959529562,1623959532435
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623959532454,1623959569598
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623959569612,1623959575999
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623959576020,1623959586293
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623959586306,1623959596940
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623959596954,1623959607141
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623959607158,1623959632542
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623959632557,1623959704210
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623959704229,1623959714952
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623959714969,1623959723269
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623959723281,1623959728257
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623959728273,1623959748559
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623959748580,1623959758201
