event,node,start,end
form start,,1623925523200,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623925523203,1623925528206
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623925528216,1623925530588
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623925530593,1623925536541
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623925536547,1623925539655
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623925539661,1623925551446
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623925551454,1623925554160
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623925554169,1623925556657
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623925556665,1623925560585
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623925560590,1623925563539
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623925563544,1623925566777
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623925566785,1623925569152
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623925569157,1623925572855
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623925572862,1623925576842
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623925576848,1623925590832
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623925590859,1623925592557
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925592562,1623925597282
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925597290,1623925602167
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925602173,1623925604199
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925604205,1623925621497
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623925621502,1623925625782
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623925625789,1623925630212
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623925630218,1623925632729
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623925632735,1623925690478
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623925690501,1623925764577
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623925764602,1623925858888
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623925858924,1623925866910
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623925866919,1623925871133
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623925871141,1623925885612
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623925885617,1623925908069
