event,node,start,end
form start,,1623924710205,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623924710210,1623924907984
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623924907992,1623924910399
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623924910404,1623924914784
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623924914791,1623924947169
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623924947181,1623924965461
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623924965468,1623924967829
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623924967835,1623924970370
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623924970380,1623924972549
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623924972554,1623924975352
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623924975359,1623924980771
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623924980778,1623924983366
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623924983371,1623924988035
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623924988043,1623924990258
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623924990264,1623924992732
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623924992740,1623924996064
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623924996072,1623925001663
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623925001669,1623925250907
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623925250933,1623925255932
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925255938,1623925261140
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925261146,1623925268486
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623925268493,1623925273342
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623925273347,1623925277203
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623925277214,1623925281618
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623925281625,1623925372023
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623925372049,1623925471155
