event,node,start,end
form start,,1623840177490,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623840177492,1623840181135
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623840181147,1623840183796
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623840183801,1623840189026
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623840189033,1623840194024
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623840194030,1623840206405
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623840206410,1623840244067
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623840244073,1623840246926
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623840246933,1623840249314
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623840249319,1623840252066
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623840252073,1623840265886
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623840265891,1623840269342
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623840269350,1623840275321
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623840275327,1623840277321
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623840277326,1623840280371
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623840280377,1623840285374
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623840285380,1623840298705
jump,,1623840298707,1623840563574
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623840390977,1623840563574
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623840563608,1623840566691
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623840566697,1623840604147
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623840604181,1623840605785
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623840605791,1623840610139
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623840610147,1623840619258
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623840619265,1623840655017
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623840655023,1623840661142
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623840661149,1623840672247
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623840672253,1623840787312
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623840787339,1623840921622
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623840921654,1623841035784
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623841035815,1623841040004
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623841040011,1623841041267
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623841041273,1623841058987
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623841058995,1623841074725
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623841074731,1623841105399
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623841105405,1623841120398
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623841120404,1623841141341
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623841141346,1623841165141
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623841165147,1623841206702
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623841206715,1623841240500
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623841240505,1623841242811
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623841242817,1623841245342
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623841245348,1623841250051
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_washing,1623841250057,1623841259380
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623841259386,1623841260767
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623841260774,1623841278541
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623841278548,1623841299876
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623841299883,1623841338804
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623841338811,1623841381737
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623841381744,1623841384015
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841384023,1623841394295
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623841394301,1623841411430
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841411435,1623841436670
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841436676,1623841442338
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623841442345,1623841444637
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623841444643,1623841458070
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623841458077,1623841466542
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623841466549,1623841472734
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623841472739,1623841504444
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623841504460,1623841536389
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623841536395,1623841570818
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623841570823,1623841608530
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623841608536,1623841672467
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623841672475,1623841688619
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623841688629,1623841693861
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623841693867,1623841722254
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623841722260,1623841770656
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623841770680,1623841773517
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623841773524,1623841780717
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623841780724,1623841837342
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623841837349,1623841838830
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623841838836,1623841863645
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623841863660,1623841877604
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623841877613,1623841881115
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623841881121,1623841889775
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623841889780,1623841941333
