event,node,start,end
form start,,1622718154214,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622718154215,1622718156272
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622718156286,1622718160065
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622718160081,1622718161949
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622718161967,1622718164619
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622718164635,1622718165699
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622718165715,1622718167661
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622718167674,1622718168724
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622718168742,1622718170951
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622718170967,1622718172467
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_gaza,1622718172484,1622718174334
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622718174350,1622718176530
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622718176547,1622718190019
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622718190094,1622718191144
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622718191158,1622718195047
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622718195120,1622718196061
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622718196074,1622718197376
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622718197394,1622718198495
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622718198511,1622718199632
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/displacement_status,1622718199650,1622718202106
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622718202123,1622718203418
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/displacement_status,1622718203435,1622718205017
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622718205034,1622718206081
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622718206097,1622718207486
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622718207502,1622718208779
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/displacement_status,1622718208793,1622718210134
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622718210148,1622718211179
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622718211195,1622718212040
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622718212106,1622718212741
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622718212757,1622718213573
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622718213640,1622718214744
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622718214758,1622718228680
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622718228737,1622718229651
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622718229665,1622718233754
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622718233821,1622718256738
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622718256778,1622718272962
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food,1622718273020,1622718276583
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food_freq,1622718276600,1622718277976
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622718277989,1622718278828
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622718278846,1622718280781
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622718280796,1622718282078
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622718282094,1622718283742
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622718283757,1622718287722
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622718287736,1622718290823
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/num_disability,1622718290837,1622718292799
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1622718292811,1622718294376
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1622718294389,1622718298081
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1622718298095,1622718300513
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622718300575,1622718301625
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1622718301643,1622718303129
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622718303147,1622718304623
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1622718304635,1622718307722
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1622718307736,1622718309247
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622718309263,1622718310723
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622718310738,1622718315880
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622718315895,1622718316758
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622718316775,1622718318022
question,/a65UJQzWW8gQKbK5SyoXnE/wash/changed_drinking_source,1622718318036,1622718322313
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622718322331,1622718327218
