event,node,start,end
form start,,1623924989787,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623924989790,1623924993999
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623924994008,1623924996391
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623924996397,1623925001960
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623925001967,1623925003955
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623925003961,1623925020117
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623925020127,1623925055802
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623925055807,1623925062059
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623925062067,1623925065805
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623925065810,1623925135868
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623925135874,1623925188499
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623925188509,1623925193750
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623925193758,1623925197118
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623925197124,1623925204918
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623925204924,1623925254089
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623925254116,1623925255473
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925255481,1623925257849
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925257856,1623925264876
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623925264882,1623925273294
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623925273302,1623925275599
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623925275606,1623925277725
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623925277732,1623925689775
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623925689798,1623925725032
