event,node,start,end
form start,,1620219889895,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620219889896,1620219891996
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620219892019,1620219894890
question,/aN9yvTNAZJuRBVufebBoSY/location,1620219894900,1620219896506
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620219896518,1620219898895
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620219898909,1620219904706
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620219904719,1620219908738
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620219908753,1620219912355
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620219912363,1620219922601
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620219922611,1620219927151
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620219927165,1620219930830
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620219930838,1620219960421
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620219960489,1620219962117
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620219962130,1620219963844
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620219963857,1620219965825
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620219965836,1620219966819
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620219966832,1620219999198
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620219999247,1620220095807
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620220095852,1620220150017
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620220150088,1620220153197
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620220153211,1620221547833
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620221547852,1620221548613
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620221548624,1620221551624
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620221551635,1620221553297
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620221553307,1620221553840
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620221553851,1620221554484
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620221554493,1620221555684
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620221555697,1620221560270
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620221560282,1620221564452
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620221564463,1620221566985
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620221566998,1620221582018
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620221582033,1620226898231
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620226898256,1620226899947
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620226900001,1620226901210
question,/aN9yvTNAZJuRBVufebBoSY/health_group/vaccination_rejection,1620226901231,1620226911138
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620226911149,1620226931142
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_services,1620226931196,1620226933363
question,/aN9yvTNAZJuRBVufebBoSY/health_group/why_difficulty_services,1620226933375,1620226942856
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620226942873,1620226946405
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620226946417,1620226950316
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620226950326,1620226951608
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620226951621,1620226962058
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620226962069,1620226966325
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620226966336,1620226968230
