event,node,start,end
form start,,1623757045610,
form resume,,1623826872353,
jump,,1623826872355,1623826927450
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623826877370,1623826927450
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623826927483,1623826931883
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623826931888,1623826952650
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623826952658,1623826956782
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623826956789,1623826974068
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623826974074,1623826977457
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623826977464,1623826981426
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623826981433,1623826985005
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623826985010,1623826988837
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623826988843,1623827056434
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827056441,1623827058204
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623827058222,1623827062420
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623827062427,1623827065333
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827065339,1623827069392
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827069400,1623827072077
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623827072082,1623827078295
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827078302,1623827082789
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827082797,1623827087807
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827087812,1623827202242
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827202272,1623827204430
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827204434,1623827211414
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827211421,1623827220161
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827220167,1623827239827
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827239833,1623827247692
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827247698,1623827257103
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827257111,1623827400403
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623827400422,1623827450603
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827450629,1623827451149
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827451186,1623827451288
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827451293,1623827451577
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827451584,1623827451912
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827451922,1623827452505
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827452510,1623827452705
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827452712,1623827452878
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827452885,1623827453873
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827453909,1623827453976
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827453982,1623827454048
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623827454052,1623827454240
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827454247,1623827455555
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827455559,1623827457702
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623827457708,1623827458170
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623827458176,1623827458239
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827458247,1623827462622
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827462629,1623827465028
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827465037,1623827467940
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827467946,1623827504512
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827504523,1623827504691
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827504698,1623827505652
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827505696,1623827506079
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827506085,1623827507362
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827507370,1623827508764
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827508770,1623827509845
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827509909,1623827511078
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827511085,1623827529981
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827530010,1623827531245
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827531251,1623827532572
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827532579,1623827533637
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827533645,1623827534621
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827534627,1623827535223
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827535229,1623827536288
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827536296,1623827537860
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623827537884,1623827677837
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623827677860,1623827818070
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623827818101,1623827832229
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623827832234,1623827835099
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623827835105,1623827856328
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623827856335,1623827874097
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623827874103,1623827890740
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623827890745,1623827902696
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623827902702,1623827937179
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623827937186,1623827946506
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623827946514,1623827966710
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623827966717,1623828001924
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623828001929,1623828003587
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623828003594,1623828026367
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623828026375,1623828045558
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623828045564,1623828056534
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623828056541,1623828072007
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623828072014,1623828086996
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623828087004,1623828088884
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623828088890,1623828106310
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623828106317,1623828113032
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623828113038,1623828122605
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623828122610,1623828130030
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623828130037,1623828134523
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623828134529,1623828151500
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623828151508,1623828157077
