event,node,start,end
form start,,1623918421016,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623918421020,1623918424735
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918424743,1623918426783
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918426788,1623918430681
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918430689,1623918433279
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918433289,1623918444973
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918444982,1623918447253
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918447258,1623918449829
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918449835,1623918452827
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918452832,1623918454934
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918454941,1623918459055
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918459065,1623918461157
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623918461167,1623918464157
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918464163,1623918468860
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918468866,1623918517269
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918517301,1623918518843
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918518850,1623918524507
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918524515,1623918556117
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623918556123,1623918562164
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623918562172,1623918564201
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623918564211,1623918568198
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918568204,1623918664835
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918664863,1623918742053
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918742077,1623918819860
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623918819890,1623918823391
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623918823398,1623918824668
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918824673,1623918836373
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918836380,1623918844802
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623918844809,1623918883755
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623918883761,1623918894459
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623918894466,1623918910927
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623918910933,1623918921857
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623918921868,1623918924743
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623918924751,1623918930267
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623918930273,1623918949309
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623918949333,1623919003341
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623919003346,1623919005956
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623919005961,1623919007920
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623919007925,1623919013692
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1623919013697,1623919021864
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623919021870,1623919023501
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623919023507,1623919033873
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623919033878,1623919049951
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623919049956,1623919060670
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623919060678,1623919068061
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623919068067,1623919091839
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623919091844,1623919113660
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623919113666,1623919128053
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623919128059,1623919129332
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623919129339,1623919137827
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623919137833,1623919144428
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623919144434,1623919147545
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623919147551,1623919149595
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623919149601,1623919155846
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623919155854,1623919157667
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623919157674,1623919163536
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623919163550,1623919168756
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623919168763,1623919175146
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623919175152,1623919190959
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623919190965,1623919192761
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623919192767,1623919195914
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623919195920,1623919203479
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623919203487,1623919209138
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623919209146,1623919227488
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623919227503,1623919238718
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623919238723,1623919247033
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623919247040,1623919261006
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623919261013,1623919262335
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623919262339,1623919268705
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623919268712,1623919282431
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623919282449,1623919293777
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623919293782,1623919306328
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction_reason,1623919306333,1623919316152
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623919316160,1623919341860
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623919341866,1623919343259
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623919343265,1623919400794
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623919400813,1623919412645
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623919412651,1623919419854
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623919419861,1623919425775
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623919425781,1623919435336
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623919435343,1623919450886
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623919450893,1623919456399
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623919456406,1623919466417
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623919466424,1623919468227
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623919468236,1623919491090
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623919491097,1623919506306
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623919506311,1623919526987
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict_other,1623919526992,1623919550116
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623919550123,1623919559528
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623919559537,1623919571589
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623919571595,1623919612683
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623919612701,1623919626164
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919626171,1623919633362
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623919633368,1623919637530
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623919637536,1623919651574
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623919651583,1623919655832
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623919655839,1623919680982
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623919681001,1623919684579
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623919684587,1623919693473
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623919693481,1623919694804
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623919694813,1623919717620
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623919717626,1623919745427
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/other_unsafe_locations,1623919745435,1623919774332
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations_why,1623919774342,1623919796432
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623919796439,1623919819622
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623919819628,1623919862785
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623919862791,1623919873484
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623919873493,1623919891107
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623919891114,1623919894710
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623919894716,1623919908161
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623919908166,1623919914726
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623919914734,1623919924039
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623919924045,1623919927994
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623919928000,1623919938867
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623919938875,1623919951195
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623919951203,1623919954674
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey_participant,1623919954679,1623919959963
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/second_participant/consent2,1623919959968,1623919988780
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/hh_characteristics2/relationship2,1623919988788,1623919991300
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/hh_characteristics2/age_respondent_r2,1623919991305,1623919996676
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/hh_characteristics2/gender_respondent_r2,1623919996683,1623920000440
group questions,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/food_insecurity_2,1623920000446,1623920075130
group questions,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/lack_of_food_mitigation_2,1623920075151,1623920139686
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/hh_member_distress_2,1623920139714,1623920156998
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/child_distress_number_2,1623920157003,1623920169845
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/hh_member_distress_2,1623920169851,1623920175923
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/child_distress_number_2,1623920175930,1623920178306
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/adult_distress_number_2,1623920178314,1623920186201
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/psychosocial_services_2,1623920186210,1623920204488
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/type_of_pss_2,1623920204499,1623920223778
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/health_group_2/women_specialised_services_2,1623920223784,1623920242029
group questions,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/wash_2,1623920242035,1623920270200
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/education_2/catch_up_learning_2,1623920270219,1623920280833
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/education_2/school_pss_services_2,1623920280839,1623920293036
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/education_2/school_safety_2,1623920293042,1623920315379
group questions,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/livelihoods_2,1623920315385,1623920391238
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/security_start_2,1623920391262,1623920392724
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/feel_unsafe_2,1623920392730,1623920407765
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/unsafe_locations_2,1623920407771,1623920426269
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/other_unsafe_locations_2,1623920426276,1623920465390
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/unsafe_locations_why_2,1623920465395,1623920489212
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/security_concerns_girls_2,1623920489220,1623920508904
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/security_concerns_boys_2,1623920508911,1623920527811
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/protection_2/security_concerns_women_2,1623920527818,1623920541307
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/aap_start_2,1623920541314,1623920542634
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/aid_received_2,1623920542639,1623920552304
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/aid_satisfaction_2,1623920552310,1623920559972
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/aid_not_satisfied_2,1623920559978,1623920572941
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/aid_workers_satisfied_2,1623920572947,1623920622498
question,/ahLxPkShSJwCFf2hsNoEbs/gender_sensitivity/accountability_2/complaint_mechanisms_2,1623920622506,1623920650348
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623920650354,1623920652074
end screen,,1623920652080,1623920688008
form save,,1623920689371,
form exit,,1623920689371,
form finalize,,1623920689371,
form resume,,1623926099939,
jump,,1623926099939,1623926102864
end screen,,1623926102897,1623926104612
form save,,1623926105826,
form exit,,1623926105826,
form finalize,,1623926105826,
