event,node,start,end
form start,,1623842357917,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623842357920,1623842361742
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623842361749,1623842367357
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623842367363,1623842375658
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623842375664,1623842378841
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623842378847,1623842390674
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623842390681,1623842393035
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623842393041,1623842399405
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623842399421,1623842401876
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623842401880,1623842407007
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623842407018,1623842412711
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623842412722,1623842414995
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623842415000,1623842420007
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623842420014,1623842424654
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623842424660,1623842469952
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623842469982,1623842473248
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623842473258,1623842476852
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623842476859,1623842483434
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623842483440,1623842487820
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623842487826,1623842492264
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623842492270,1623842495360
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623842495365,1623842563206
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623842563231,1623842648986
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623842649009,1623842706679
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623842706710,1623842709503
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623842709511,1623842710835
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623842710841,1623842725721
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623842725727,1623842741036
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623842741043,1623842750867
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623842750873,1623842768833
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623842768838,1623842772653
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623842772659,1623842777196
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623842777202,1623842780641
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623842780646,1623842800173
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623842800179,1623842802962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623842802968,1623842803755
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623842803761,1623842805530
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623842805534,1623842806839
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623842806844,1623842808393
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623842808401,1623842812719
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623842812724,1623842814408
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623842814413,1623842817384
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623842817395,1623842819039
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623842819044,1623842820661
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623842820666,1623842821878
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623842821886,1623842825606
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623842825612,1623842828565
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623842828572,1623842839699
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services,1623842839704,1623842862991
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services_other,1623842862998,1623842885214
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services,1623842885218,1623842888395
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623842888405,1623842899365
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services,1623842899374,1623842904588
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services_other,1623842904594,1623842906597
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623842906602,1623842919121
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623842919128,1623842933905
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623842933911,1623842939753
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623842939759,1623842941196
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623842941201,1623842947522
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623842947530,1623842956915
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623842956925,1623842960425
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623842960431,1623842964214
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623842964221,1623842967059
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623842967067,1623842982650
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623842982658,1623843006851
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623843006858,1623843010362
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623843010369,1623843017421
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623843017441,1623843020270
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623843020278,1623843026463
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623843026471,1623843059284
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623843059290,1623843061090
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623843061095,1623843065144
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623843065151,1623843079905
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623843079918,1623843084529
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623843084534,1623843090502
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623843090508,1623843097450
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623843097456,1623843098835
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623843098840,1623843107456
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623843107465,1623843111561
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623843111573,1623843115889
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623843115895,1623843149073
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843149080,1623843158579
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623843158585,1623843169321
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843169330,1623843171756
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623843171771,1623843175061
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843175067,1623843178919
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623843178925,1623843182809
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843182813,1623843183583
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623843183590,1623843191747
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623843191755,1623843192770
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623843192777,1623843196716
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623843196722,1623843215200
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623843215204,1623843224391
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623843224398,1623843225798
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623843225804,1623843242216
