event,node,start,end
form start,,1623833158787,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623833158790,1623833166452
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623833166461,1623833168938
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623833168943,1623833174543
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623833174547,1623833179436
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623833179441,1623833189985
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623833189993,1623833192726
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623833192732,1623833195100
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623833195106,1623833197350
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623833197356,1623833205245
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623833205251,1623833207983
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623833207990,1623833210500
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623833210510,1623833215149
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623833215156,1623833217708
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623833217715,1623833220162
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623833220169,1623833224812
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623833224818,1623833229243
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623833229248,1623833317836
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623833317862,1623833319482
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623833319491,1623833329700
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623833329706,1623833341618
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623833341626,1623833351178
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623833351187,1623833357295
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623833357302,1623833369957
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623833369962,1623833463213
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623833463245,1623833597180
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623833597202,1623833724800
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623833724830,1623833736158
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623833736165,1623833737628
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623833737635,1623833757981
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623833757985,1623833792089
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623833792096,1623833818633
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623833818642,1623833836392
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623833836400,1623833857744
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/obstructive_barriers,1623833857754,1623833872219
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623833872225,1623833906250
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623833906258,1623833910888
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623833910895,1623833917057
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623833917065,1623833932622
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623833932627,1623833934350
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623833934356,1623833947647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623833947654,1623833970192
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623833970199,1623833981070
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623833981077,1623833982416
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623833982424,1623833989806
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623833989813,1623833998163
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623833998171,1623834003595
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623834003603,1623834007230
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623834007236,1623834009839
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623834009846,1623834018919
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623834018926,1623834022453
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623834022460,1623834027716
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623834027724,1623834046247
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623834046263,1623834058730
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623834058738,1623834065602
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623834065609,1623834076846
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623834076856,1623834078310
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623834078315,1623834080851
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623834080859,1623834089605
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623834089621,1623834092377
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623834092389,1623834094901
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623834094908,1623834103185
