event,node,start,end
form start,,1623841031045,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623841031048,1623841034447
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623841034465,1623841035878
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623841035893,1623841039307
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623841039328,1623841054687
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623841054703,1623841065236
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623841065253,1623841066838
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623841066852,1623841074170
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623841074183,1623841076811
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623841076827,1623841124772
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623841124784,1623841126785
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623841126802,1623841155148
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623841155171,1623841156015
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623841156024,1623841157937
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623841157957,1623841159401
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623841159420,1623841161683
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623841161694,1623841166281
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623841166292,1623841207987
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841208029,1623841209016
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841209039,1623841209875
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841209890,1623841213846
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841213867,1623841218621
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841218629,1623841226582
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623841226588,1623841228298
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841228391,1623841230520
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623841230538,1623841327487
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623841327586,1623841365211
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623841365266,1623841401350
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623841401458,1623841403336
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623841403356,1623841476248
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623841476264,1623841479270
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623841479287,1623841531984
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623841531996,1623841539123
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623841539135,1623841540049
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623841540063,1623841562997
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623841563006,1623841565842
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623841565851,1623841567868
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623841567878,1623841568410
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623841568423,1623841572391
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623841572400,1623841573261
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841573274,1623841577598
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841577613,1623841581775
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841581792,1623841583495
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841583511,1623841587642
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841587654,1623841590795
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841590817,1623841595431
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841595442,1623841603259
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623841603268,1623841604352
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841604368,1623841604718
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841604730,1623841605261
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841605274,1623841606650
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623841606667,1623841608978
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841609000,1623841613704
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841613725,1623841616244
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841616259,1623841627491
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841627507,1623841628383
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841628393,1623841643718
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841643736,1623841644923
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841644940,1623841646383
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623841646402,1623841648324
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623841648338,1623841650424
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623841650444,1623841654204
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623841654218,1623841658314
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623841658327,1623841681220
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623841681269,1623841686933
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623841686947,1623841712668
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623841712694,1623841715349
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623841715369,1623841716313
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623841716328,1623841718150
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623841718160,1623841736053
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623841736097,1623841741463
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623841741477,1623841745474
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623841745486,1623841747117
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623841747131,1623841749601
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623841749617,1623841750546
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623841750562,1623841763956
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623841763984,1623841767496
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623841767507,1623841782652
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623841782672,1623841787512
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623841787532,1623841789099
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623841789110,1623841791868
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623841791887,1623841792710
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623841792726,1623841793942
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623841793955,1623841807180
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623841807197,1623841809084
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623841809097,1623841811025
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623841811041,1623841812350
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623841812358,1623841824188
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623841824206,1623841847442
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623841847456,1623841848596
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623841848610,1623841862721
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623841862736,1623841869900
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623841869920,1623841948158
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623841948176,1623841966464
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt_other,1623841966482,1623841982235
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623841982249,1623841991689
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623841991704,1623842005659
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623842005675,1623842068655
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623842068692,1623842069805
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623842069830,1623842070708
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623842070727,1623842083098
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623842083113,1623842084400
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623842084443,1623842090680
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623842090693,1623842099564
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623842099585,1623842116333
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623842116357,1623842121132
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623842121153,1623842125689
