event,node,start,end
form start,,1622708333946,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622708333948,1622708339944
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622708339959,1622708343206
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622708343221,1622708344942
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622708344957,1622708346695
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622708346707,1622708348031
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622708348046,1622708348721
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622708348740,1622708349698
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622708349713,1622708351648
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622708351660,1622708352832
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622708352847,1622708355151
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622708355167,1622708356962
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_gaza,1622708356978,1622708361047
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622708361061,1622708362191
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622708362209,1622708426699
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622708426769,1622708427757
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622708427771,1622708429336
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622708429351,1622708430875
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622708430890,1622708432129
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/displacement_status,1622708432143,1622708435424
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/currently_hosting_displaced,1622708435440,1622708436710
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622708436723,1622708450276
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622708450336,1622708464108
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622708464174,1622708484469
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food,1622708484546,1622708486006
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food_freq,1622708486021,1622708487517
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622708487536,1622708488523
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622708488541,1622708491123
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622708491139,1622708492092
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food_freq,1622708492108,1622708493158
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food,1622708493176,1622708494696
question,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food/no_food_freq,1622708494706,1622708495425
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622708495438,1622708496332
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622708496349,1622708498613
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622708498627,1622708500213
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622708500227,1622708501730
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622708501744,1622708502580
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622708502596,1622708503593
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622708503606,1622708507379
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622708507389,1622708508476
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622708508493,1622708510721
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622708510735,1622708512956
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622708512974,1622708514826
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622708514839,1622708515742
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622708515758,1622708518059
question,/a65UJQzWW8gQKbK5SyoXnE/wash/changed_drinking_source,1622708518073,1622708522834
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622708522848,1622708526237
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622708526254,1622708531170
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622708531189,1622708534954
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622708534974,1622708536595
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1622708536609,1622708541146
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1622708541163,1622708543326
group questions,/a65UJQzWW8gQKbK5SyoXnE/wash/water_sufficiency,1622708543341,1622708550092
question,/a65UJQzWW8gQKbK5SyoXnE/wash/water_coping_mechanism,1622708550142,1622708552485
question,/a65UJQzWW8gQKbK5SyoXnE/wash/num_of_floods,1622708552500,1622708554568
question,/a65UJQzWW8gQKbK5SyoXnE/wash/solid_waste_disposal,1622708554584,1622708556794
question,/a65UJQzWW8gQKbK5SyoXnE/wash/waste_accumulation_days,1622708556809,1622708559131
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_start,1622708559144,1622708560318
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1622708560332,1622708562648
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1622708562662,1622708567604
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1622708567657,1622708569931
