event,node,start,end
form start,,1623788149936,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623788149937,1623788180966
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623788180977,1623788183201
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623788183210,1623788185398
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623788185408,1623788187425
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623788187435,1623788190290
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623788190297,1623788194947
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623788194955,1623788196254
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623788196261,1623788198223
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623788198228,1623788201143
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623788201154,1623788215098
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623788215111,1623788216782
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623788216787,1623788218663
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623788218669,1623788220843
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623788220850,1623788222937
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623788222970,1623788223778
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623788223788,1623788227279
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623788227311,1623788282438
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623788282447,1623788284248
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623788284253,1623788285692
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623788285701,1623788288324
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623788288333,1623788289757
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623788289763,1623788291158
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623788291165,1623788305034
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623788305059,1623788314490
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623788314513,1623788331678
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623788331711,1623788354945
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623788354954,1623788360491
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623788360498,1623788361355
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623788361363,1623788363532
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623788363542,1623788365025
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623788365031,1623788366450
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623788366456,1623788469509
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623788469524,1623788471208
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623788471217,1623788471903
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623788471913,1623788472985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623788472995,1623788477033
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623788477040,1623788479264
