event,node,start,end
form start,,1623827223070,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623827223075,1623827242016
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623827242039,1623827244672
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623827244677,1623827269164
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623827269173,1623827274155
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623827274159,1623827289837
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623827289843,1623827292301
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623827292309,1623827295178
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623827295184,1623827297167
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827297173,1623827299461
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623827299467,1623827302982
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623827302988,1623827308659
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827308665,1623827312380
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827312388,1623827314801
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623827314807,1623827322867
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827322875,1623827330314
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827330320,1623827333818
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827333824,1623827488125
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827488157,1623827509571
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827509578,1623827515541
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827515548,1623827523667
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827523673,1623827531913
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827531918,1623827544357
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827544363,1623827547560
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827547567,1623827676103
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623827676140,1623827764105
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623827764127,1623827900482
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623827900513,1623827912664
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623827912672,1623827914061
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623827914068,1623827927625
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623827927630,1623827938655
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623827938662,1623827959501
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623827959509,1623827968847
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623827968854,1623827989246
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623827989252,1623828003731
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623828003736,1623828005890
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623828005897,1623828023752
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623828023765,1623828040705
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623828040711,1623828065661
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623828065670,1623828077004
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623828077011,1623828079286
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623828079290,1623828094376
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623828094382,1623828108911
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623828108920,1623828110470
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623828110476,1623828119764
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623828119770,1623828129998
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623828130005,1623828136967
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623828136974,1623828141797
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623828141802,1623828145678
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623828145684,1623828157134
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623828157141,1623828161814
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623828161822,1623828167936
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623828167942,1623828215886
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623828215901,1623828239351
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_other,1623828239358,1623828263755
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623828263761,1623828265388
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_other,1623828265393,1623828268191
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623828268198,1623828272057
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623828272065,1623828277057
