event,node,start,end
form start,,1622724503093,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622724503095,1622724504880
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622724504895,1622724508891
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622724508907,1622724512342
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622724512359,1622724515829
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622724515841,1622724519778
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622724519788,1622724521925
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622724521936,1622724525647
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622724525662,1622724537516
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622724537530,1622724542422
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_gaza,1622724542441,1622724544761
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622724544774,1622724546598
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622724546616,1622724558299
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622724558372,1622724561895
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622724561912,1622724566094
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622724566108,1622724569944
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622724569959,1622724571614
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622724571631,1622724573151
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622724573169,1622724579089
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/displacement_status,1622724579113,1622724583489
question,/a65UJQzWW8gQKbK5SyoXnE/displacement/permanent_location,1622724583503,1622724584236
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622724584246,1622724584933
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622724584944,1622724585552
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622724585564,1622724586154
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622724586168,1622724587043
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622724587119,1622724587800
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_gaza,1622724587814,1622724589538
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622724589550,1622724590557
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622724590569,1622724592085
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622724592100,1622724592728
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_gaza,1622724592740,1622724596128
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622724596142,1622724597181
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622724597192,1622724598275
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622724598291,1622724599251
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622724599261,1622724600380
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622724600394,1622724602113
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622724602128,1622724607352
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622724607366,1622724609319
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622724609335,1622724609960
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622724609973,1622724610534
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622724610551,1622724612210
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622724612225,1622724613773
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622724613787,1622724614289
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622724614304,1622724617207
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622724617280,1622724618255
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622724618271,1622724618909
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622724618925,1622724619529
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622724619543,1622724634372
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622724634423,1622724646349
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622724646400,1622724667292
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622724667357,1622724669155
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622724669170,1622724671616
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622724671634,1622724674471
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622724674489,1622724680051
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622724680066,1622724683905
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622724683921,1622724689316
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622724689328,1622724690386
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622724690402,1622724692720
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622724692735,1622724696164
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622724696182,1622724699277
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622724699296,1622724701078
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622724701095,1622724703754
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622724703763,1622724706550
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622724706562,1622724708707
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622724708724,1622724709826
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622724709842,1622724710619
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622724710635,1622724712999
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622724713015,1622724715172
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1622724715186,1622724723088
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1622724723100,1622724726680
group questions,/a65UJQzWW8gQKbK5SyoXnE/wash/water_sufficiency,1622724726689,1622724734045
question,/a65UJQzWW8gQKbK5SyoXnE/wash/num_of_floods,1622724734076,1622724736096
question,/a65UJQzWW8gQKbK5SyoXnE/wash/solid_waste_disposal,1622724736111,1622724738300
question,/a65UJQzWW8gQKbK5SyoXnE/wash/waste_accumulation_days,1622724738319,1622724741827
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_start,1622724741842,1622724743000
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1622724743018,1622724744958
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1622724744972,1622724746893
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1622724746912,1622724754570
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1622724754590,1622724756268
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1622724756278,1622724756982
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1622724756994,1622724759341
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1622724759357,1622724759965
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1622724759979,1622724763588
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/experienced_threats,1622724763606,1622724767759
question,/a65UJQzWW8gQKbK5SyoXnE/education/education_start,1622724767774,1622724769004
group questions,/a65UJQzWW8gQKbK5SyoXnE/education/school_enrollment,1622724769022,1622724774318
