event,node,start,end
form start,,1623923914006,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623923914008,1623923918230
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623923918246,1623923919990
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623923920003,1623923934766
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623923934778,1623923937120
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623923937135,1623923958721
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623923958735,1623923960709
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623923960718,1623923962334
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623923962345,1623923965901
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623923965916,1623923968042
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623923968051,1623923970166
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623923970177,1623923978389
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623923978404,1623923981275
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623923981288,1623923984422
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623923984439,1623923988872
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623923988886,1623924034285
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623924034328,1623924035844
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623924035854,1623924040297
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623924040311,1623924045734
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623924045752,1623924122962
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623924123001,1623924165894
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623924165948,1623924202833
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623924202887,1623924204134
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623924204149,1623924214100
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623924214118,1623924220352
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623924220370,1623924236807
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623924236819,1623924246687
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623924246704,1623924256198
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623924256214,1623924263682
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623924263698,1623924265003
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623924265019,1623924268395
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623924268411,1623924272612
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623924272622,1623924275873
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623924275881,1623924279992
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623924280007,1623924281028
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623924281046,1623924292815
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623924292830,1623924295907
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623924295923,1623924298465
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623924298482,1623924300685
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623924300700,1623924305546
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623924305558,1623924308973
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623924308988,1623924312576
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623924312588,1623924329552
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623924329597,1623924335841
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623924335858,1623924344848
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623924344890,1623924350367
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623924350380,1623924370175
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623924370220,1623924376211
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623924376225,1623924380160
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623924380177,1623924385947
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623924385963,1623924387156
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623924387172,1623924390154
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623924390168,1623924403141
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623924403173,1623924409013
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623924409031,1623924412604
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623924412617,1623924414988
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623924414999,1623924420891
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623924420906,1623924423593
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623924423611,1623924434752
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623924434761,1623924436165
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623924436179,1623924441034
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623924441047,1623924442512
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623924442531,1623924457454
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623924457468,1623924466837
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623924466856,1623924471060
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623924471075,1623924476424
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623924476441,1623924519562
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623924519590,1623924525159
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623924525177,1623924528758
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623924528775,1623924536197
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623924536213,1623924538950
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623924538967,1623924547667
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623924547685,1623924555343
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623924555357,1623924576860
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623924576905,1623924587916
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623924587928,1623924594034
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623924594048,1623924595368
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623924595382,1623924604409
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623924604426,1623924607098
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623924607112,1623924608878
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623924608890,1623924610631
question,/ahLxPkShSJwCFf2hsNoEbs/protection/demolition_order,1623924610647,1623924615539
question,/ahLxPkShSJwCFf2hsNoEbs/protection/encounter_explosives,1623924615556,1623924618577
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623924618593,1623924620207
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623924620221,1623924623193
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623924623208,1623924626065
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623924626079,1623924645556
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623924645568,1623924661452
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623924661470,1623924665127
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623924665140,1623924666703
question,/ahLxPkShSJwCFf2hsNoEbs/gpslocation,1623924666713,1623924710644
end screen,,1623924710658,1623924712225
form save,,1623924712553,
form exit,,1623924712553,
form finalize,,1623924712553,
