event,node,start,end
form start,,1623838273317,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623838273319,1623838288253
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623838288261,1623838291206
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623838291211,1623838305297
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623838305303,1623838308618
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623838308629,1623838334309
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623838334314,1623838336833
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623838336839,1623838341579
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623838341585,1623838343956
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623838343961,1623838413678
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623838413685,1623839069622
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839069629,1623839072020
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623839072027,1623839082565
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839082573,1623839085607
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839085612,1623839149056
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839149092,1623839159182
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839159187,1623839160702
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839160708,1623839167998
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839168004,1623839170716
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623839170722,1623839178869
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623839178876,1623839182505
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623839182511,1623839185184
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623839185190,1623839187444
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623839187450,1623839271280
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623839271307,1623839326573
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623839326597,1623839418630
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623839418665,1623839421582
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623839421589,1623839422941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623839422947,1623839435923
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839435930,1623839447597
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623839447603,1623839464765
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623839464778,1623839472762
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623839472779,1623839486717
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623839486725,1623839500151
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623839500158,1623839501467
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623839501474,1623839523019
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623839523024,1623839534658
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623839534665,1623839538139
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623839538147,1623839539977
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623839539985,1623839542478
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623839542485,1623839543902
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623839543908,1623839546298
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623839546308,1623839567292
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623839567299,1623839570530
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623839570538,1623839574207
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623839574213,1623839579788
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623839579795,1623839583409
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623839583417,1623839586312
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623839586318,1623839589478
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623839589484,1623839593180
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623839593186,1623839601571
