event,node,start,end
form start,,1623833391040,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623833391043,1623833398641
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623833398649,1623833401201
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623833401206,1623833410937
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623833410945,1623833414875
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623833414882,1623833427275
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623833427284,1623833429965
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623833429971,1623833433953
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623833433960,1623833738001
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623833738006,1623833744790
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623833744797,1623833747439
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623833747447,1623833750106
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623833750114,1623833754620
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623833754625,1623833758933
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623833758939,1623833763010
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623833763019,1623833767449
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623833767455,1623833790537
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623833790548,1623833842930
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623833842962,1623833844447
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623833844452,1623833855148
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623833855189,1623833856728
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623833856733,1623833862377
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623833862385,1623833871079
