event,node,start,end
form start,,1623925236735,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623925236737,1623925242117
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623925242138,1623925244429
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623925244448,1623925253010
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623925253026,1623925255767
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623925255780,1623925261239
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623925261259,1623925263396
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623925263410,1623925265388
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623925265405,1623925267563
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623925267586,1623925275296
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623925275309,1623925279565
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623925279584,1623925323584
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623925323603,1623925329217
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623925329238,1623925332065
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623925332079,1623925341682
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623925341705,1623925365777
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623925365828,1623925367157
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925367180,1623925370240
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925370262,1623925378740
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623925378756,1623925583228
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623925583282,1623925710454
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623925710504,1623925931387
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623925931449,1623925933497
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623925933517,1623925947015
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623925947035,1623925996750
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623925996768,1623925998323
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623925998340,1623925999429
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623925999452,1623926014656
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623926014724,1623926015649
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623926015665,1623926016902
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623926016921,1623926021962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623926021977,1623926024962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623926024983,1623926026632
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623926026650,1623926037467
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623926037487,1623926041451
