event,node,start,end
form start,,1623915608839,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915608841,1623915612519
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915612535,1623915614188
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915614202,1623915617872
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915617887,1623915620377
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915620399,1623915636543
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623915636563,1623915638181
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915638191,1623915639977
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623915639993,1623915641885
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623915641900,1623915844469
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623915844482,1623915847286
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623915847304,1623915851770
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623915851790,1623915853476
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623915853489,1623915855675
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915855688,1623915863253
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623915863267,1623915890182
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915890243,1623915891115
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915891131,1623915894884
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915894902,1623915902580
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915902592,1623915914927
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623915914989,1623915932273
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623915932322,1623915945048
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623915945111,1623915945985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623915946001,1623915964764
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623915964786,1623915973987
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623915974008,1623915982993
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623915983010,1623915987031
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623915987052,1623916005946
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not_other,1623916005965,1623916027723
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623916027742,1623916033282
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623916033304,1623916034359
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623916034381,1623916035915
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916035929,1623916037587
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916037599,1623916039168
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916039187,1623916039771
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916039787,1623916041717
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916041734,1623916042877
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916042890,1623916044519
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916044533,1623916048587
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916048607,1623916051776
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916051795,1623916053003
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916053020,1623916057045
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916057063,1623916057997
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916058014,1623916059876
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623916059885,1623916062344
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623916062357,1623916063969
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623916063980,1623916066385
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623916066401,1623916068798
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623916068813,1623916080174
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623916080208,1623916082918
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623916082955,1623916090274
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623916090298,1623916092922
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623916092944,1623916093900
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623916093916,1623916097448
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623916097463,1623916106628
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623916106678,1623916111323
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623916111338,1623916113262
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623916113278,1623916114765
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623916114777,1623916117319
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623916117338,1623916118172
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623916118189,1623916119591
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623916119617,1623916122022
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623916122039,1623916122835
