event,node,start,end
form start,,1623922159819,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623922159821,1623922231588
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623922231606,1623922234059
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623922234071,1623922240250
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623922240268,1623922243056
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623922243074,1623922258900
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623922258919,1623922260790
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623922260803,1623922262740
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623922262762,1623922265737
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623922265748,1623922267334
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623922267344,1623922270096
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623922270109,1623922277093
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623922277107,1623922280259
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623922280269,1623922283685
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623922283702,1623922287986
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623922288001,1623922327165
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623922327202,1623922332781
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623922332799,1623922341364
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623922341379,1623922349204
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623922349221,1623922385035
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623922385076,1623922426958
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623922427020,1623922469978
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623922470051,1623922472399
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623922472417,1623922489224
