event,node,start,end
form start,,1622718634265,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622718634266,1622718636576
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622718636594,1622718638915
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622718638930,1622718640786
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622718640799,1622718642484
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622718642497,1622718643662
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622718643684,1622718646546
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622718646556,1622718647915
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622718647926,1622718650948
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622718650967,1622718653940
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1622718653953,1622718655668
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622718655682,1622718656754
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622718656771,1622718671802
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622718671896,1622718673224
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622718673240,1622718674956
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622718674971,1622718679729
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622718679749,1622718713434
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622718713486,1622718725467
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622718725517,1622718743158
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622718743229,1622718744082
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622718744098,1622718746467
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622718746482,1622718748447
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1622718748461,1622718750293
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1622718750307,1622718753795
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622718753807,1622718757717
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622718757734,1622718758508
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622718758523,1622718759438
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622718759452,1622718762708
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622718762720,1622718766384
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/num_disability,1622718766399,1622718768937
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1622718768952,1622718770507
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1622718770521,1622718772525
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1622718772541,1622718773548
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1622718773566,1622718775678
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1622718775693,1622718777390
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622718777409,1622718778448
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1622718778495,1622718781536
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/why_difficulty_services,1622718781554,1622718782932
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622718782947,1622718784196
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1622718784211,1622718788424
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1622718788439,1622718789672
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622718789688,1622718899833
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/type_of_pss,1622718899861,1622718901602
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622718901614,1622718903216
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622718903228,1622718904008
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622718904020,1622718905253
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622718905267,1622718906462
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622718906478,1622718907995
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622718908006,1622718909440
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622718909450,1622718910574
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1622718910588,1622718911893
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622718911908,1622718914340
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1622718914353,1622718915626
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1622718915637,1622718917011
