event,node,start,end
form start,,1623928691758,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623928691760,1623928694959
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623928694975,1623928696816
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623928696830,1623928706963
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623928706977,1623928709398
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623928709416,1623928717404
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623928717421,1623928719475
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623928719485,1623928720807
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623928720822,1623928722249
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623928722267,1623928723677
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623928723690,1623928727140
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623928727156,1623928730847
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623928730858,1623928751091
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623928751107,1623928754914
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623928754931,1623928756983
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623928757000,1623928762045
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623928762065,1623928763984
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623928764000,1623928766542
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623928766552,1623928768705
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623928768724,1623928771197
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623928771213,1623928842916
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623928842981,1623928856841
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623928856863,1623928859777
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623928859796,1623928875414
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623928875427,1623928968981
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623928969039,1623929079391
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623929079446,1623929191495
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623929191581,1623929194167
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623929194187,1623929204611
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623929204627,1623929219941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623929219957,1623929243770
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623929243790,1623929247847
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623929247863,1623929249480
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623929249497,1623929279982
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623929279994,1623929281262
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623929281283,1623929297117
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623929297128,1623929334944
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623929334963,1623929349752
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623929349768,1623929351570
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623929351588,1623929366360
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623929366374,1623929373425
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623929373440,1623929387033
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623929387046,1623929389439
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623929389455,1623929402227
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623929402250,1623929405824
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623929405839,1623929417919
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623929417935,1623929429420
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623929429480,1623929435509
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623929435530,1623929440237
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623929440257,1623929450059
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623929450078,1623929451732
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623929451752,1623929457610
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623929457625,1623929481121
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623929481163,1623929485431
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623929485452,1623929490142
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623929490161,1623929498697
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623929498714,1623929502239
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623929502250,1623929504993
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623929505015,1623929516048
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623929516068,1623929519020
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623929519045,1623929520524
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623929520541,1623929522466
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623929522486,1623929535628
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623929535645,1623929554474
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623929554492,1623929566492
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623929566514,1623929577137
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623929577153,1623929581348
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623929581366,1623929609969
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623929609985,1623929652450
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623929652483,1623929657700
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623929657715,1623929756208
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623929756229,1623929778934
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623929778952,1623929798320
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623929798335,1623929806677
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623929806695,1623929807889
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623929807910,1623929809797
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623929809813,1623929825132
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623929825148,1623929846678
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood_other,1623929846689,1623929851172
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623929851187,1623929855161
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623929855178,1623929911391
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623929911433,1623929923337
