event,node,start,end
form start,,1623968369868,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623968369870,1623968373344
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623968373362,1623968375933
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623968375954,1623968393351
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623968393368,1623968397140
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623968397154,1623968402472
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623968402488,1623968404639
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623968404660,1623968407466
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623968407485,1623968408407
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623968408421,1623968430101
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623968430114,1623968432250
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623968432265,1623968434370
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623968434386,1623968437764
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623968437781,1623968442173
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623968442182,1623968444316
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623968444333,1623968457478
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623968457493,1623968459583
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623968459604,1623968462164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623968462175,1623968464172
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623968464194,1623968487027
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623968487075,1623968488484
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623968488505,1623968492460
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623968492478,1623968494750
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623968494770,1623968552098
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623968552182,1623968566100
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623968566149,1623968568439
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623968568509,1623968570259
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623968570302,1623968607703
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623968607773,1623968608936
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623968608960,1623968612993
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623968613009,1623968618351
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623968618366,1623968654072
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623968654095,1623968656566
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623968656582,1623968658905
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623968658928,1623968661788
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623968661795,1623968670448
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623968670461,1623968674244
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623968674257,1623968675512
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623968675532,1623968678017
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623968678031,1623968681111
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623968681124,1623968683554
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623968683572,1623968684651
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623968684672,1623968687498
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623968687509,1623968690285
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623968690295,1623968692637
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623968692650,1623968694880
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623968694898,1623968699677
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623968699689,1623968703100
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623968703110,1623968705497
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623968705509,1623968712044
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623968712079,1623968714661
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623968714675,1623968717317
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623968717328,1623968720381
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623968720396,1623968721654
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623968721672,1623968724550
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623968724565,1623968740889
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623968740929,1623968743205
