event,node,start,end
form start,,1623918239177,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623918239180,1623918245683
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918245704,1623918247595
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918247609,1623918249963
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918249981,1623918253058
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918253075,1623918258903
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918258916,1623918260712
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918260727,1623918287975
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623918287987,1623918290239
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918290257,1623918292120
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918292136,1623918319552
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918319569,1623918320263
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623918320278,1623918321891
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918321909,1623918324664
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918324680,1623918326433
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918326451,1623918328496
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918328513,1623918329898
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623918329911,1623918356012
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918356027,1623918357034
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918357048,1623918358623
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918358638,1623918359921
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918359940,1623918361353
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623918361370,1623918363355
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918363364,1623918365036
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918365049,1623918367204
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918367222,1623918368896
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918368909,1623918389180
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623918389198,1623918395730
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623918395744,1623918397934
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918397944,1623918402915
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918402928,1623918404630
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623918404645,1623918406979
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623918406999,1623918409557
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918409571,1623918414774
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918414789,1623918453351
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918453392,1623918454556
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918454575,1623918457206
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918457220,1623918466073
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918466090,1623918468751
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918468838,1623918470835
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918470845,1623918506317
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918506362,1623918529033
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918529098,1623918563602
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623918563674,1623918564944
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918564961,1623918578935
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918578949,1623918587794
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623918587805,1623918598113
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623918598131,1623918609600
