event,node,start,end
form start,,1623832753132,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623832753136,1623832768386
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623832768391,1623832770823
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623832770829,1623832788562
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623832788568,1623832791746
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623832791752,1623832820739
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623832820746,1623832823284
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623832823295,1623832826489
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623832826496,1623832828476
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623832828481,1623832830540
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623832830548,1623832844209
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623832844214,1623832852487
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623832852493,1623832859021
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623832859027,1623832862914
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623832862920,1623832902133
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623832902167,1623832905770
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623832905775,1623832910854
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623832910861,1623832927045
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623832927055,1623832935985
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623832935990,1623832938429
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623832938438,1623832988051
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623832988067,1623833118658
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623833118684,1623833175425
