event,node,start,end
form start,,1623914938989,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623914938998,1623914946150
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623914946221,1623914948590
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623914948595,1623914954794
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623914954803,1623914959807
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623914959815,1623914968593
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623914968601,1623914971131
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623914971139,1623914973420
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623914973428,1623914976102
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623914976107,1623914978995
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623914979003,1623914981749
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623914981757,1623914984222
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623914984230,1623914990297
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623914990305,1623914992812
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623914992819,1623914996353
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623914996359,1623915001200
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915001206,1623915004138
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623915004143,1623915039568
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915039595,1623915043878
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915043885,1623915048223
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915048230,1623915062226
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915062235,1623915071434
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915071440,1623915076313
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623915076319,1623915082200
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915082207,1623915251944
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623915251968,1623915399204
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623915399227,1623915549403
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623915549433,1623915550838
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915550862,1623915551484
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623915551524,1623915551801
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915551808,1623915553635
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915553641,1623915554478
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915554484,1623915555481
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915555489,1623915556424
