event,node,start,end
form start,,1623917935699,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623917935702,1623918018884
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918018891,1623918021037
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918021042,1623918029729
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918029734,1623918032143
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918032147,1623918038672
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918038678,1623918040757
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918040762,1623918044086
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918044092,1623918046234
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918046239,1623918051164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623918051170,1623918055355
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623918055362,1623918058845
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918058853,1623918067362
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918067375,1623918069634
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623918069639,1623918073348
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918073354,1623918075066
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623918075072,1623918076987
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623918076994,1623918081211
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918081216,1623918083355
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918083361,1623918160859
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918160891,1623918164722
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918164730,1623918170189
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918170196,1623918182036
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623918182045,1623918188728
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623918188737,1623918191672
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623918191679,1623918193574
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918193579,1623918275029
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918275063,1623918395758
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918395782,1623918464501
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623918464531,1623918475019
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623918475027,1623918476368
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918476375,1623918495507
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918495516,1623918498137
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918498146,1623918502415
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918502421,1623918517658
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623918517664,1623918532185
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623918532193,1623918537888
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623918537894,1623918549893
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623918549900,1623918557552
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623918557560,1623918587718
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623918587727,1623918595389
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623918595394,1623918596651
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623918596656,1623918607945
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623918607951,1623918615256
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623918615262,1623918620086
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623918620094,1623918639374
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623918639379,1623918666314
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623918666320,1623918669346
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623918669353,1623918670679
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623918670686,1623918679163
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623918679169,1623918690273
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623918690279,1623918697215
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623918697221,1623918705698
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623918705705,1623918708234
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623918708239,1623918716641
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623918716647,1623918719509
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623918719514,1623918725742
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623918725748,1623918737615
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623918737633,1623918740347
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623918740355,1623918744071
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623918744076,1623918753774
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623918753784,1623918755344
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623918755350,1623918761513
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623918761518,1623918789090
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623918789106,1623918791791
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623918791796,1623918794637
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623918794644,1623918807105
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623918807113,1623918808708
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623918808715,1623918867890
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623918867904,1623918871853
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623918871861,1623918884843
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623918884849,1623918894419
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623918894426,1623918896172
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623918896178,1623918901491
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623918901497,1623918907138
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623918907145,1623918914227
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623918914232,1623918924865
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623918924872,1623918932597
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623918932604,1623918933927
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623918933933,1623918945011
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623918945018,1623918950869
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623918950878,1623918973623
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623918973628,1623919020798
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623919020803,1623919025052
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623919025057,1623919034041
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623919034054,1623919077541
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623919077546,1623919154322
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623919154337,1623919162522
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919162529,1623919167143
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623919167150,1623919170069
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919170077,1623919172076
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623919172081,1623919174910
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623919174916,1623919212383
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623919212394,1623919235643
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623919235648,1623919285208
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623919285228,1623919290533
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623919290540,1623919293256
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623919293262,1623919294661
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623919294668,1623919324511
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623919324518,1623919350802
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations_why,1623919350809,1623919388078
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623919388084,1623919405600
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623919405606,1623919422078
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623919422085,1623919474531
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623919474537,1623919481619
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623919481624,1623919482912
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623919482920,1623919488383
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623919488391,1623919521596
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623919521602,1623919540817
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623919540823,1623919543719
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623919543726,1623919558153
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623919558160,1623919559904
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623919559909,1623919572879
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623919572887,1623919590746
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623919590751,1623919593731
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623919593736,1623919595183
end screen,,1623919595188,1623919606490
form save,,1623919607419,
form exit,,1623919607419,
form resume,,1623929771229,
jump,,1623929771229,1623929772254
end screen,,1623929772278,1623929773753
form save,,1623929774667,
form exit,,1623929774667,
form finalize,,1623929774667,
