event,node,start,end
form start,,1623914782380,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623914782384,1623914786098
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623914786113,1623914789204
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623914789210,1623914795777
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623914795784,1623914797716
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623914797722,1623914815062
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623914815068,1623914818227
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623914818232,1623914825983
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623914825991,1623914828440
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623914828446,1623914832497
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623914832505,1623914834819
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623914834825,1623914836943
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623914836949,1623914842047
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623914842054,1623914844742
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623914844749,1623914847687
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623914847735,1623914849972
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623914849978,1623915079075
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915079131,1623915088158
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915088167,1623915090976
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915090982,1623915103944
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915103950,1623915115667
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915115675,1623915123752
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623915123760,1623915126279
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915126286,1623915319278
