event,node,start,end
form start,,1623831941505,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623831941508,1623831946557
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623831946565,1623831948870
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623831948875,1623831960165
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623831960171,1623831963432
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623831963444,1623831976927
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623831976932,1623831979265
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623831979269,1623831981385
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623831981394,1623831986528
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623831986534,1623831988948
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623831988955,1623832014784
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623832014792,1623832019313
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623832019319,1623832027896
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623832027903,1623832030181
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623832030189,1623832119921
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623832119955,1623832122139
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623832122143,1623832128093
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623832128099,1623832154315
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623832154321,1623832181636
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623832181642,1623832184631
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623832184639,1623832187170
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623832187178,1623832338165
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623832338206,1623832525855
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623832525877,1623832600610
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623832600641,1623832616863
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623832616869,1623832618231
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623832618236,1623832635045
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623832635055,1623832649069
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623832649074,1623832665809
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623832665815,1623832669602
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623832669609,1623832772569
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not_other,1623832772576,1623832798732
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623832798737,1623832810027
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not_other,1623832810036,1623832811904
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623832811911,1623832833413
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623832833419,1623832834872
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623832834879,1623832849274
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623832849280,1623832898524
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623832898530,1623832911153
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623832911164,1623832933071
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623832933079,1623832934459
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623832934464,1623832940135
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623832940142,1623832943641
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623832943648,1623832950485
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623832950491,1623832956838
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623832956846,1623832959849
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623832959857,1623832983795
