event,node,start,end
form start,,1623915923477,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915923480,1623915936842
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915936864,1623915939339
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915939356,1623915945502
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915945513,1623915948139
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915948150,1623915958424
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623915958438,1623915960617
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915960627,1623915963210
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623915963229,1623915966014
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623915966031,1623915968133
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623915968143,1623915970337
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623915970355,1623915994471
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623915994482,1623915996238
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623915996255,1623915999133
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915999144,1623916001056
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623916001072,1623916036724
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623916036757,1623916038060
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623916038081,1623916043768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623916043784,1623916049359
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623916049377,1623916075785
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623916075826,1623916102248
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916102306,1623916131422
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916131502,1623916132692
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623916132712,1623916144618
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916144637,1623916170712
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623916170729,1623916182945
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623916182958,1623916188203
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623916188219,1623916192186
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623916192198,1623916208985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623916209001,1623916210365
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623916210383,1623916213111
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916213122,1623916220994
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916221008,1623916223929
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916223947,1623916225121
