event,node,start,end
form start,,1620218428211,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620218428212,1620218441033
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620218441044,1620218443551
question,/aN9yvTNAZJuRBVufebBoSY/location,1620218443562,1620218446121
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620218446132,1620218448535
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620218448549,1620218450338
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620218450353,1620218451579
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620218451591,1620218454595
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620218454606,1620218456521
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620218456535,1620218458640
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620218458657,1620218473400
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620218473454,1620218474698
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620218474708,1620218477472
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620218477483,1620218480207
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620218480218,1620218481289
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620218481299,1620218482322
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620218482332,1620218483152
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620218483162,1620218500474
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620218500537,1620218527174
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620218527217,1620218565093
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620218565150,1620218566205
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620218566218,1620218569094
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620218569112,1620218699309
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620218699320,1620218703056
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620218703067,1620218705996
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620218706010,1620218725541
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620218725550,1620218730149
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620218730161,1620218731656
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620218731680,1620218733046
question,/aN9yvTNAZJuRBVufebBoSY/health_group/vaccination_rejection,1620218733058,1620218738422
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620218738430,1620218764372
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_services,1620218764440,1620218767648
question,/aN9yvTNAZJuRBVufebBoSY/health_group/why_difficulty_services,1620218767663,1620218784446
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620218784460,1620218795833
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620218795854,1620218797804
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620218797820,1620218799477
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620218799485,1620218802325
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620218802339,1620218805639
question,/aN9yvTNAZJuRBVufebBoSY/wash/wash_start,1620218805646,1620218806971
question,/aN9yvTNAZJuRBVufebBoSY/wash/drinking_water_source,1620218806982,1620218816942
question,/aN9yvTNAZJuRBVufebBoSY/wash/domestic_water_source,1620218816949,1620218822515
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines,1620218822525,1620218833029
question,/aN9yvTNAZJuRBVufebBoSY/wash/shared_sanitation,1620218833035,1620218836071
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_hh_sharing_sanitation,1620218836083,1620218837663
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620218837678,1620218843464
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620218843482,1620218847123
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620218847133,1620218848688
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620218848699,1620218849281
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_waste_drainage,1620218849292,1620218852843
group questions,/aN9yvTNAZJuRBVufebBoSY/wash/water_sufficiency,1620218852855,1620218858997
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620218859034,1620218864490
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_effects,1620218864507,1620218875344
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_shelter_effects,1620218875360,1620218886619
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_mitigation_measures,1620218886634,1620218889180
question,/aN9yvTNAZJuRBVufebBoSY/wash/solid_waste_disposal,1620218889187,1620218894443
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620218894449,1620218897591
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620218897601,1620218898805
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620218898814,1620218899206
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620218899215,1620218900203
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_type_inperson,1620218900214,1620218904318
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues,1620218904326,1620218936739
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues_other,1620218936750,1620218953173
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_risk_eviction,1620218953181,1620218957920
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_main_risks,1620218957928,1620218976146
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620218976158,1620218977854
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620218977861,1620218992773
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/remote_learning,1620218992803,1620219003294
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/dropout,1620219003304,1620219009446
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/drop_out_reason,1620219009456,1620219020200
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_schl_attendance,1620219020208,1620219025687
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_edu_challenges,1620219025698,1620219026528
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_schl_attendance,1620219026540,1620219030279
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/drop_out_reason,1620219030288,1620219030665
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_schl_attendance,1620219030673,1620219031752
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_edu_challenges,1620219031765,1620219039481
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/catch_up_learning,1620219039489,1620219042544
question,/aN9yvTNAZJuRBVufebBoSY/education/school_pss_services,1620219042550,1620219053362
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/catch_up_learning,1620219053369,1620219054229
question,/aN9yvTNAZJuRBVufebBoSY/education/school_pss_services,1620219054237,1620219055129
question,/aN9yvTNAZJuRBVufebBoSY/education/primary_school_place,1620219055140,1620219058013
question,/aN9yvTNAZJuRBVufebBoSY/education/secondary_school_place,1620219058027,1620219062124
