event,node,start,end
form start,,1623839144209,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623839144211,1623839159768
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623839159781,1623839161770
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623839161784,1623839168874
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623839168886,1623839171356
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839171369,1623839188010
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623839188024,1623839190367
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839190384,1623839192668
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839192683,1623839195529
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839195544,1623839208401
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839208412,1623839211206
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623839211222,1623839213838
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623839213854,1623839215803
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839215819,1623839224748
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839224763,1623839226869
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623839226878,1623839229332
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623839229349,1623839232344
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839232352,1623839237113
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839237131,1623839260290
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839260330,1623839261382
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839261399,1623839266080
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623839266097,1623839272429
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623839272448,1623839397205
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623839397239,1623839528705
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623839528750,1623839589246
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623839589309,1623839590609
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623839590629,1623839605280
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839605294,1623839618310
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623839618331,1623839630468
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623839630483,1623839635062
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623839635078,1623839640233
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623839640243,1623839647865
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623839647879,1623839649558
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623839649576,1623839665002
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623839665016,1623839677715
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623839677728,1623839699962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623839699980,1623839715322
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623839715336,1623839716860
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623839716875,1623839727208
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623839727226,1623839733746
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623839733761,1623839743081
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623839743093,1623839745898
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623839745913,1623839758481
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623839758498,1623839765881
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623839765896,1623839784457
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623839784470,1623839803122
