event,node,start,end
form start,,1623841340617,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623841340620,1623841344370
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623841344377,1623841346766
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623841346773,1623841355646
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623841355656,1623841357691
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623841357696,1623841374865
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623841374872,1623841377210
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623841377215,1623841381939
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623841381946,1623841386736
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623841386742,1623841399038
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623841399043,1623841401109
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623841401116,1623841403380
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623841403388,1623841410607
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623841410616,1623841412688
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623841412693,1623841416371
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623841416379,1623841420000
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623841420007,1623841424896
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623841424902,1623841614712
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841614744,1623841622460
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623841622475,1623841632278
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841632306,1623841633631
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841633635,1623841644933
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841644938,1623841652186
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623841652192,1623841660427
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841660435,1623841663085
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841663091,1623841665428
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841665433,1623841666856
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623841666862,1623841676435
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841676462,1623841677331
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841677336,1623841678320
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841678325,1623841679625
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623841679633,1623841685464
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623841685471,1623841689201
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623841689209,1623841690998
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623841691003,1623841694275
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623841694299,1623841701916
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623841701923,1623841808400
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623841808427,1623841888342
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623841888364,1623842249508
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623842249551,1623842256504
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623842256513,1623842257860
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623842257867,1623842262747
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623842262752,1623842286739
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623842286746,1623842300551
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623842300558,1623842303404
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623842303410,1623842332716
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623842332725,1623842334438
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623842334444,1623842348243
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/obstructive_barriers,1623842348250,1623842372301
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623842372308,1623842388230
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623842388236,1623842400462
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623842400473,1623842414230
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623842414235,1623842420840
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623842420847,1623842422139
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623842422145,1623842425234
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623842425240,1623842461071
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623842461076,1623842466855
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623842466863,1623842473170
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623842473176,1623842474505
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623842474514,1623842491222
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623842491230,1623842494259
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623842494265,1623842498785
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623842498795,1623842504258
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623842504265,1623842507241
