event,node,start,end
form start,,1623839744053,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623839744056,1623839749195
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623839749200,1623839751791
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623839751796,1623839763500
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623839763509,1623839769342
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839769349,1623839808147
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839808152,1623839810656
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839810663,1623839814336
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839814343,1623839816541
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839816545,1623839821658
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839821666,1623839931907
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839931915,1623839934286
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623839934290,1623839940417
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839940424,1623839942708
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839942713,1623840031570
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623840031601,1623840033431
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623840033436,1623840037421
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623840037436,1623840044389
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623840044395,1623840052074
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623840052079,1623840054944
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623840054950,1623840058915
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623840058921,1623840149838
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623840149863,1623840242687
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623840242712,1623840248294
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623840248328,1623840252667
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623840252692,1623840372729
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623840372759,1623840376483
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623840376490,1623840377852
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623840377857,1623840397421
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623840397427,1623840401481
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623840401486,1623840424203
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623840424212,1623840428572
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623840428578,1623840439045
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623840439052,1623840447013
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623840447021,1623840469133
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623840469140,1623840483463
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623840483469,1623840484795
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623840484801,1623840515851
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623840515858,1623840522047
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623840522056,1623840528551
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623840528559,1623840546215
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623840546221,1623840553414
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623840553419,1623840554802
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623840554808,1623840564270
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623840564278,1623840567047
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623840567052,1623840570007
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623840570014,1623840575034
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623840575040,1623840581155
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623840581161,1623840587681
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623840587687,1623840591919
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623840591927,1623840608913
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623840608919,1623840612183
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623840612189,1623840615292
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623840615299,1623840623874
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623840623891,1623840627850
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623840627856,1623840631317
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623840631324,1623840633618
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623840633627,1623840635025
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623840635031,1623840644848
