event,node,start,end
form start,,1623925734233,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623925734236,1623925742611
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623925742626,1623925744543
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623925744559,1623925758513
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623925758525,1623925760875
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623925760891,1623925770369
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623925770383,1623925772640
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623925772657,1623925774488
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623925774497,1623925777359
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623925777370,1623925778994
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623925779005,1623925781894
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623925781904,1623925835697
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623925835716,1623925838704
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623925838721,1623925842064
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623925842079,1623925848176
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623925848196,1623925864004
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623925864038,1623925865740
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623925865759,1623925868925
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623925868943,1623925874966
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623925874984,1623925996347
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623925996387,1623926057442
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623926057501,1623926105153
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623926105234,1623926106902
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623926106919,1623926121940
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623926121957,1623926136179
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623926136195,1623926143810
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623926143821,1623926148560
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623926148579,1623926154156
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623926154169,1623926162139
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623926162148,1623926163406
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623926163420,1623926166470
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623926166488,1623926170495
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623926170506,1623926182978
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623926182998,1623926184846
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623926184864,1623926198141
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623926198152,1623926211850
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623926211863,1623926215508
