event,node,start,end
form start,,1623917923654,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623917923657,1623917945670
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623917945679,1623917948378
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623917948383,1623917969555
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623917969561,1623917972082
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623917972088,1623917997285
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623917997294,1623918000360
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918000366,1623918003324
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918003331,1623918005553
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918005558,1623918016413
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918016418,1623918026276
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918026284,1623918028364
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623918028371,1623918031839
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918031845,1623918039657
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918039662,1623918208305
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918208330,1623918209819
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918209825,1623918214885
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918214891,1623918219076
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623918219085,1623918230469
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623918230478,1623918233039
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623918233049,1623918236358
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918236363,1623918316180
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918316204,1623918369302
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918369324,1623918399743
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918399779,1623918406939
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918406964,1623918553669
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623918553700,1623918562748
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623918562755,1623918564064
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918564070,1623918571726
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918571733,1623918603047
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623918603057,1623918620964
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623918620969,1623918626258
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623918626270,1623918632451
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623918632457,1623918636136
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623918636147,1623918637388
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623918637394,1623918641285
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623918641291,1623918655866
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623918655875,1623918665429
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623918665436,1623918669413
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623918669420,1623918670604
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623918670611,1623918677090
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623918677104,1623918682855
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623918682861,1623918687319
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623918687327,1623918693195
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623918693201,1623918695441
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623918695450,1623918711187
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623918711195,1623918714662
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623918714670,1623918718668
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623918718677,1623918726046
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623918726070,1623918729498
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623918729505,1623918747424
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623918747430,1623918759109
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623918759116,1623918760388
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623918760393,1623918763616
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623918763623,1623918774060
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623918774073,1623918778868
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623918778875,1623918788482
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623918788489,1623918821994
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623918822003,1623918823308
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623918823313,1623918828301
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623918828311,1623918831358
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623918831365,1623918848078
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623918848089,1623918853910
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623918853916,1623918865686
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623918865693,1623918867295
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623918867302,1623918871925
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623918871932,1623918873843
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623918873849,1623918874756
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623918874761,1623918880100
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623918880106,1623918898511
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services_other,1623918898518,1623918903269
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623918903279,1623918905900
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623918905907,1623918907564
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623918907571,1623918919545
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623918919554,1623918920694
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623918920699,1623918993518
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623918993523,1623919000686
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623919000693,1623919024649
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623919024658,1623919077224
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623919077230,1623919100936
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623919100942,1623919122096
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623919122107,1623919127367
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919127374,1623919130091
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623919130096,1623919133163
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919133169,1623919138761
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623919138767,1623919158167
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623919158176,1623919160292
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623919160297,1623919166655
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623919166660,1623919190252
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623919190265,1623919196727
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623919196734,1623919198823
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623919198846,1623919234859
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623919234865,1623919279775
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623919279793,1623919288403
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623919288409,1623919297531
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623919297537,1623919298719
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623919298727,1623919310977
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623919310999,1623919312310
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623919312318,1623919321737
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623919321743,1623919331888
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623919331897,1623919333371
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623919333377,1623919342188
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations_why,1623919342195,1623919385438
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623919385445,1623919398539
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623919398545,1623919443438
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623919443445,1623919457107
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623919457116,1623919460254
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623919460260,1623919461548
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623919461555,1623919472331
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623919472339,1623919487641
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623919487647,1623919493165
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623919493172,1623919501456
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623919501462,1623919509306
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623919509312,1623919512199
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623919512207,1623919541323
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623919541332,1623919558797
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623919558804,1623919562758
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623919562762,1623919652913
end screen,,1623919652921,1623919712665
form save,,1623919713609,
form exit,,1623919713609,
form resume,,1623928183345,
jump,,1623928183345,1623928184407
end screen,,1623928184437,1623928185587
form save,,1623928186583,
form exit,,1623928186583,
form finalize,,1623928186583,
form resume,,1624097434148,
jump,,1624097434149,1624097454040
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1624097451093,1624097454040
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1624097454067,1624097456115
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1624097456121,1624097457617
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1624097457627,1624097460456
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1624097460462,1624097463740
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1624097463746,1624097487266
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1624097487298,1624097489796
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1624097489802,1624097492560
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1624097492565,1624097495324
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1624097495333,1624097497421
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1624097497427,1624097498441
