event,node,start,end
form start,,1623827542123,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623827542125,1623827601617
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623827601625,1623827603906
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623827603910,1623827608709
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623827608715,1623827611984
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623827611991,1623827643642
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623827643650,1623827646494
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623827646502,1623827649593
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623827649598,1623827652775
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827652780,1623827658962
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623827658968,1623827669048
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623827669054,1623827671710
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827671717,1623827681461
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827681470,1623827683614
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623827683619,1623827685926
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827685933,1623827689200
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827689209,1623827694386
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827694395,1623827745595
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827745621,1623827747790
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827747796,1623827755323
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827755330,1623827758509
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827758517,1623827764709
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827764715,1623827769420
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827769426,1623827776987
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827776994,1623828020903
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623828020928,1623828117362
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623828117397,1623828278206
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623828278234,1623828286532
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623828286538,1623828287914
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623828287921,1623828297864
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623828297871,1623828314682
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623828314689,1623828367647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623828367654,1623828382521
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623828382527,1623828395939
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623828395945,1623828398795
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623828398801,1623828419135
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623828419141,1623828484557
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623828484566,1623828486214
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623828486219,1623828518372
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623828518377,1623828532756
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623828532762,1623828554300
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623828554307,1623828555735
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623828555741,1623828564321
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623828564327,1623828575147
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623828575154,1623828581069
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623828581075,1623828587851
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623828587858,1623828590197
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623828590217,1623828610535
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623828610543,1623828617017
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623828617024,1623828624925
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623828624930,1623828661027
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623828661042,1623828683389
question,/ahLxPkShSJwCFf2hsNoEbs/wash/floods/floods_effects,1623828683397,1623828746762
question,/ahLxPkShSJwCFf2hsNoEbs/wash/floods/floods_shelter_effects,1623828746767,1623828768698
question,/ahLxPkShSJwCFf2hsNoEbs/wash/floods/floods_mitigation_measures,1623828768704,1623828784944
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623828784952,1623828798414
question,/ahLxPkShSJwCFf2hsNoEbs/wash/floods/floods_mitigation_measures,1623828798420,1623828811031
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623828811037,1623828820160
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623828820166,1623828839313
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623828839323,1623828840922
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623828840929,1623828844283
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623828844289,1623828866671
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623828866698,1623828871352
