event,node,start,end
form start,,1623835857365,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623835857367,1623835867460
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623835867468,1623835869554
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623835869559,1623835878002
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623835878009,1623835881161
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623835881169,1623835899782
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623835899801,1623835902321
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623835902326,1623835907980
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623835907986,1623835909910
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623835909915,1623835912788
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623835912795,1623835920074
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623835920081,1623835923034
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623835923041,1623835929817
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623835929826,1623835937851
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623835937857,1623836008557
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836008587,1623836025721
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836025726,1623836030264
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836030270,1623836036704
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623836036710,1623836040227
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623836040232,1623836042628
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623836042635,1623836044688
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623836044695,1623836119613
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623836119639,1623836182946
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623836182968,1623836259797
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623836259838,1623836262537
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623836262543,1623836263856
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623836263861,1623836284355
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623836284363,1623836298781
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623836298788,1623836315798
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623836315821,1623836327209
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623836327215,1623836328507
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623836328514,1623836342355
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623836342361,1623836364647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623836364653,1623836366631
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623836366637,1623836380822
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623836380829,1623836382123
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623836382132,1623836385484
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623836385490,1623836389345
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623836389352,1623836391726
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623836391734,1623836394508
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623836394514,1623836396646
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623836396653,1623836403829
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623836403838,1623836407088
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623836407095,1623836411693
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623836411700,1623836423292
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623836423308,1623836426406
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623836426412,1623836434783
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623836434794,1623836445975
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623836445981,1623836447375
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623836447379,1623836450194
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623836450200,1623836466931
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623836466946,1623836468506
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623836468512,1623836471914
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623836471928,1623836474047
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623836474053,1623836476838
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623836476851,1623836478741
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623836478746,1623836480857
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623836480863,1623836493229
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623836493238,1623836494567
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623836494573,1623836539260
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623836539273,1623836543085
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623836543089,1623836551763
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623836551769,1623836559870
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623836559877,1623836571073
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623836571081,1623836594664
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623836594673,1623836598961
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623836598968,1623836609724
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623836609732,1623836611002
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623836611009,1623836620143
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623836620150,1623836635908
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623836635914,1623836642010
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623836642016,1623836654595
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623836654602,1623836673273
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623836673280,1623836679633
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623836679638,1623836705242
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623836705250,1623836764241
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623836764257,1623836768985
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623836768992,1623836776332
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623836776339,1623836780493
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623836780500,1623836800014
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623836800023,1623836803900
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623836803906,1623836811831
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623836811852,1623836816843
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623836816853,1623836819306
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623836819313,1623836820885
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623836820893,1623836824350
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623836824356,1623836835032
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623836835038,1623836838819
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623836838827,1623836843502
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623836843509,1623836852695
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623836852703,1623836859885
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623836859891,1623836869022
question,/ahLxPkShSJwCFf2hsNoEbs/protection/level_of_building_damage,1623836869028,1623836872044
question,/ahLxPkShSJwCFf2hsNoEbs/protection/current_level_of_building_damage,1623836872052,1623836878355
