event,node,start,end
form start,,1623869715650,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623869715655,1623869776859
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623869776885,1623869779430
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623869779441,1623869807858
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623869807873,1623869815312
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623869815325,1623869845414
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623869845428,1623869849125
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623869849141,1623869851751
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623869851766,1623869854559
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623869854577,1623869861214
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623869861224,1623869866377
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623869866396,1623869869200
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623869869219,1623869871126
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623869871145,1623869874835
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623869874849,1623869877390
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623869877407,1623869888737
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623869888754,1623869891022
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623869891040,1623869893431
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623869893447,1623869897045
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623869897063,1623869899608
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623869899630,1623870022111
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623870022156,1623870025827
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623870025843,1623870030629
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623870030646,1623870038791
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623870038807,1623870208095
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623870208131,1623870358378
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623870358410,1623870458912
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623870458987,1623870463398
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623870463409,1623870486237
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623870486250,1623870498589
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623870498605,1623870535752
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623870535771,1623870543850
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623870543866,1623870571396
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623870571416,1623870600302
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623870600318,1623870606544
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623870606562,1623870627884
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623870627901,1623870633847
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623870633863,1623870640619
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623870640632,1623870649297
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623870649313,1623870663294
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623870663313,1623870667602
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623870667614,1623870675921
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623870675937,1623870680593
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623870680606,1623870700297
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623870700311,1623870703275
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623870703292,1623870734994
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623870735013,1623870741871
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623870741886,1623870758489
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623870758505,1623870778303
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623870778355,1623870780416
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623870780436,1623870784261
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623870784288,1623870794251
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623870794261,1623870801736
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623870801752,1623870817194
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623870817211,1623870819467
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623870819487,1623870823156
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623870823170,1623870825576
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623870825615,1623870827024
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623870827037,1623870840976
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623870841005,1623870844773
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623870844784,1623870853938
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623870853956,1623870872689
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623870872705,1623870884065
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623870884085,1623870886926
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623870886943,1623870912334
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623870912354,1623870917676
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623870917687,1623870927677
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623870927693,1623870931788
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/drop_out_reason,1623870931802,1623870942475
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623870942487,1623870955018
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623870955033,1623870965436
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623870965452,1623870980925
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623870980943,1623871002100
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623871002117,1623871010846
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623871010867,1623871013036
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623871013058,1623871070823
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623871070842,1623871079363
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623871079381,1623871103168
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623871103179,1623871127897
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623871127914,1623871134270
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623871134290,1623871174602
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623871174615,1623871228023
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623871228052,1623871233914
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623871233929,1623871238697
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623871238711,1623871244753
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623871244768,1623871264044
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623871264079,1623871288740
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623871288754,1623871298455
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623871298468,1623871305712
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623871305728,1623871375088
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623871375131,1623871383413
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623871383432,1623871393726
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623871393743,1623871396251
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623871396265,1623871417556
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623871417575,1623871421104
