event,node,start,end
form start,,1623921415162,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623921415164,1623921441435
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623921441447,1623921443304
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623921443316,1623921473364
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623921473381,1623921475331
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623921475347,1623921487076
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623921487090,1623921488993
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623921489010,1623921490934
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623921490949,1623921493971
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623921493987,1623921495899
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623921495910,1623921501880
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623921501894,1623921504175
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623921504188,1623921506138
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623921506153,1623921510361
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623921510377,1623921512299
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623921512316,1623921514631
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623921514645,1623921517326
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623921517342,1623921519493
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623921519506,1623921585985
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921586029,1623921587366
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623921587384,1623921589844
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623921589859,1623921596937
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921596951,1623921683938
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921683973,1623921697034
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921697079,1623921749728
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623921749808,1623921750966
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623921750985,1623921763387
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623921763405,1623921779764
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623921779783,1623921803318
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623921803332,1623921818038
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623921818052,1623921839405
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623921839424,1623921852136
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623921852152,1623921858991
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623921859010,1623921867118
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623921867131,1623921868528
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623921868548,1623921871153
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623921871171,1623921884664
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623921884679,1623921907182
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623921907200,1623921912204
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623921912222,1623921913640
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623921913658,1623921918656
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623921918673,1623921921023
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623921921043,1623921923125
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623921923144,1623921925251
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623921925270,1623921928899
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623921928913,1623921948410
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623921948428,1623921950883
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623921950901,1623921990195
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623921990237,1623922009275
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_other,1623922009294,1623922019568
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623922019579,1623922022355
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623922022370,1623922024679
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623922024690,1623922041445
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623922041457,1623922042807
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623922042824,1623922044891
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623922044906,1623922063545
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623922063568,1623922067754
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623922067764,1623922070143
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623922070153,1623922079675
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623922079689,1623922091504
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623922091518,1623922092651
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623922092666,1623922099222
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623922099245,1623922103964
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623922103976,1623922123496
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623922123512,1623922146532
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623922146549,1623922182162
