type,name,label::English,label: Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,default
start,start,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,
today,date_assessment,,,,,,,,,,,,,,
audit,audit,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,
integer,enumerator_num,1. Please record your enumerator number,1. ?????? ????? ??? ???? ????????,To be filled in by enumerator,??? ??????? ?? ??? ??????,TRUE,,,,,,,,,
text,sample_id,2.1 Please record the sample ID of the household,2. ?????? ????? ??? ??????,,,,,,,,,,,,
text,,2.2 Please enter the enumeration area of the household,,,,,,,,,,,,,
text,,2.3 Please enter the locality code of the household,,,,,,,,,,,,,
text,,2.4 Please enter the Oslo Area of the household,,,,,,,,,,,,,
select_one dc_method,dc_method,3. Is this interview conducted face to face or remotely over the phone?,3. ?? ????? ??? ???????? ????? ???? ?? ?? ???? ??? ???????,,,TRUE,,,,,,,,,
select_one location,location,"4. Is this interview taking place in the West Bank, Gaza Strip, or East Jerusalem?",4. ?? ??? ???????? ???? ?? ????? ??????? ?? ???? ??? ?? ????? ????????,,,TRUE,,,,,,,,,
select_one yes_no,camp,4.1 Is this interview taking place in a refugee camp?,4.1  ?? ??? ???????? ???? ?? ???? ????????,,,TRUE,,,,,,,,,
select_one yes_no,consent,"5. Hi my name is _____ and I work for the Palestinian Central Bureau of Statistics. We are currently conducting a survey on household needs and would like to ask you some questions about your household composition, income generating activities, health and WASH access, access to food, protection services, and humanitarian aid. 
The survey will take 30 minutes to complete. 
The information you provide will be used to inform the humanitarian response plan in the country. Any information you provide will be kept strictly confidential and anonymous. Your name will not appear anywhere and only collective analysis will be done.  
You will not receive any benefits or services for completing the survey but we hope that you do participate as your views are very important to better inform the humanitarian response. 
The survey is voluntary and you can choose not to answer any question and/or quit at any point. 
Do you have any questions? Do you agree to participate in this survey?","5. ?????? ? ???? _____ ??? ???? ?? ?????? ??????? ??????? ?????????. ??? ???? ?????? ????? ??? ???????? ?????? ???? ?? ????? ??? ??????? ??? ????? ?????? ????? ????? ?????? ?????? ?????? ??? ?????? ?????? ?????? ??????? ??????? ?????? ??? ??????? ????? ????? ??????? ?????????? ?????????. ??????? ??? ???????? ????? 30 ?????. 
???? ??????? ??? ????????? ?? ??? ????? ??? ????????? ????????? ???????? ?? ?????. ??? ??? ???????? ??? ??????? ?????? ?? ???? ???? ???? ????? ?? ?????? ?? ???? ???? ????? ??? ?????? ??????. ??? ?? ???? ?????? ?? ????? ?? ????? ?????? ????????? ?????? ???? ?? ????? ??? ??? ???? ??? ???? ?? ??? ????? ????????? ????????? ?????? ??????.
????????? ????? ?????? ?????? ??? ??????? ??? ?? ???? ?? ?????? ?? ?? ???.
?? ???? ?????? ?? ????? ??? ???????? ?? ??? ?????????? ",,,TRUE,,,.='yes',End survey if the respondent does not say yes,?????? ????? ????????? ??? ??? ?????? ?? ??? ????,,,,
