event,node,start,end
form start,,1620262849304,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620262849308,1620262852636
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620262852655,1620262864468
question,/aN9yvTNAZJuRBVufebBoSY/location,1620262864483,1620262869481
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620262869505,1620262872692
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620262872714,1620262875649
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620262875670,1620262878341
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620262878359,1620262884289
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620262884303,1620262887714
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620262887727,1620262891030
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620262891041,1620262926185
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620262926250,1620262927984
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620262927994,1620262933472
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620262933487,1620262936881
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620262936893,1620262939011
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620262939021,1620262979339
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620262979389,1620263008963
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620263009001,1620263041722
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620263041802,1620263044335
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620263044346,1620263051305
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620263051361,1620263054042
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620263054053,1620263064573
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620263064585,1620263081869
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_services,1620263081935,1620263086563
question,/aN9yvTNAZJuRBVufebBoSY/health_group/why_difficulty_services,1620263086577,1620263093157
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620263093170,1620263097733
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620263097747,1620263101403
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620263101424,1620263103682
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620263103693,1620263107595
question,/aN9yvTNAZJuRBVufebBoSY/wash/wash_start,1620263107608,1620263110200
question,/aN9yvTNAZJuRBVufebBoSY/wash/drinking_water_source,1620263110211,1620263118006
question,/aN9yvTNAZJuRBVufebBoSY/wash/domestic_water_source,1620263118017,1620263124665
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines,1620263124673,1620263131217
question,/aN9yvTNAZJuRBVufebBoSY/wash/shared_sanitation,1620263131227,1620263134423
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620263134435,1620263139252
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620263139265,1620263144367
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_waste_drainage,1620263144379,1620263147353
group questions,/aN9yvTNAZJuRBVufebBoSY/wash/water_sufficiency,1620263147363,1620263156025
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620263156069,1620263159245
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_effects,1620263159256,1620263173746
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_shelter_effects,1620263173756,1620263182819
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_mitigation_measures,1620263182829,1620263189697
question,/aN9yvTNAZJuRBVufebBoSY/wash/solid_waste_disposal,1620263189713,1620263195465
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620263195474,1620263202953
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620263202967,1620263205336
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_type_inperson,1620263205344,1620263219084
group questions,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_description,1620263219098,1620263238809
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues,1620263238868,1620263247096
question,/aN9yvTNAZJuRBVufebBoSY/shelter/occupancy_status,1620263247113,1620263259144
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_risk_eviction,1620263259155,1620263264000
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620263264014,1620263265125
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620263265137,1620263294162
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/remote_learning,1620263294228,1620263300654
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/dropout,1620263300663,1620263305116
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/drop_out_reason,1620263305127,1620263314936
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_schl_attendance,1620263314947,1620263325577
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/disabled_edu_challenges,1620263325590,1620263333996
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/catch_up_learning,1620263334005,1620263339139
question,/aN9yvTNAZJuRBVufebBoSY/education/school_pss_services,1620263339149,1620263346717
question,/aN9yvTNAZJuRBVufebBoSY/education/edu_barriers,1620263346730,1620263358906
question,/aN9yvTNAZJuRBVufebBoSY/education/primary_school_place,1620263358916,1620263366604
question,/aN9yvTNAZJuRBVufebBoSY/education/secondary_school_place,1620263366614,1620263374945
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety,1620263374958,1620263382474
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/livelihoods_start,1620263382485,1620263384993
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_income,1620263385004,1620263391459
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/how_much_debt,1620263391469,1620263398264
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_expenses,1620263398281,1620263405792
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/expenses,1620263405801,1620263431027
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/working_adults,1620263431061,1620263434403
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/unemployed_adults,1620263434414,1620263446522
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working,1620263446533,1620263454424
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working_boys,1620263454437,1620263457207
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working_girls,1620263457218,1620263459395
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/covid_loss_job,1620263459406,1620263468082
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/primary_livelihood,1620263468108,1620263486798
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/essential_needs,1620263486806,1620263496577
question,/aN9yvTNAZJuRBVufebBoSY/protection/income_earner,1620263496615,1620263507850
question,/aN9yvTNAZJuRBVufebBoSY/protection/decision_maker,1620263507861,1620263515695
question,/aN9yvTNAZJuRBVufebBoSY/protection/income_earner,1620263515705,1620263516904
question,/aN9yvTNAZJuRBVufebBoSY/protection/decision_maker,1620263516919,1620263518017
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_start,1620263518031,1620263519018
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/feel_unsafe,1620263519031,1620263523914
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/unsafe_locations,1620263523924,1620263528380
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/feel_unsafe,1620263528392,1620263531833
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_concerns_girls,1620263531843,1620263544807
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_concerns_boys,1620263544816,1620263552292
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_concerns_disabled,1620263552300,1620263569978
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_concerns_women,1620263569989,1620263588481
question,/aN9yvTNAZJuRBVufebBoSY/protection/demolition_order,1620263588490,1620263595585
question,/aN9yvTNAZJuRBVufebBoSY/protection/encounter_explosives,1620263595598,1620263599514
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aap_start,1620263599529,1620263603735
question,/aN9yvTNAZJuRBVufebBoSY/protection/encounter_explosives,1620263603746,1620263613164
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aap_start,1620263613176,1620263614393
question,/aN9yvTNAZJuRBVufebBoSY/protection/encounter_explosives,1620263614403,1620263616981
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aap_start,1620263616992,1620263618530
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aid_received,1620263618540,1620263622473
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aid_type,1620263622485,1620263628506
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aid_satisfaction,1620263628518,1620263635734
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aid_not_satisfied,1620263635747,1620263651290
question,/aN9yvTNAZJuRBVufebBoSY/accountability/aid_workers_satisfied,1620263651300,1620263657023
question,/aN9yvTNAZJuRBVufebBoSY/accountability/complaint_mechanisms,1620263657030,1620263660335
question,/aN9yvTNAZJuRBVufebBoSY/accountability/feedback_provided,1620263660342,1620263666063
question,/aN9yvTNAZJuRBVufebBoSY/accountability/reasons_no_complaint,1620263666073,1620263669838
question,/aN9yvTNAZJuRBVufebBoSY/thanks,1620263669854,1620263670956
end screen,,1620263670965,1620263672046
form save,,1620263672331,
form exit,,1620263672331,
form finalize,,1620263672331,
