event,node,start,end
form start,,1623048782999,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1623048783000,1623048785184
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1623048785199,1623048788869
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1623048788883,1623048790502
question,/a65UJQzWW8gQKbK5SyoXnE/location,1623048790516,1623048794619
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1623048794632,1623048796194
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1623048796209,1623048798509
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1623048798523,1623048799672
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1623048799683,1623048804360
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1623048804375,1623048806604
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1623048806622,1623048808898
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1623048808911,1623048810864
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1623048810879,1623048813721
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1623048813795,1623048814906
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1623048814921,1623048819501
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1623048819519,1623048820791
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1623048820808,1623048822665
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1623048822681,1623048824327
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1623048824346,1623048825843
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1623048825859,1623048826812
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1623048826829,1623048833384
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1623048833403,1623048928718
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1623048928767,1623048944684
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1623048944753,1623048945807
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1623048945815,1623048947716
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1623048947729,1623048951337
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1623048951350,1623048953610
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1623048953675,1623048954747
