event,node,start,end
form start,,1620261814914,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620261814915,1620261816879
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620261816893,1620261819341
question,/aN9yvTNAZJuRBVufebBoSY/location,1620261819356,1620261824703
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620261824719,1620261826854
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620261826870,1620261829292
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620261829302,1620261833673
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620261833682,1620261837602
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620261837616,1620261841122
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620261841137,1620261846383
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620261846398,1620261851010
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620261851024,1620261867121
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620261867171,1620261869809
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620261869820,1620261872613
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620261872627,1620261874324
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620261874332,1620261875620
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620261875629,1620261894403
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620261894461,1620261915848
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620261915894,1620261917633
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620261917715,1620261918214
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620261918255,1620261947259
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620261947325,1620261948961
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620261948977,1620261954145
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620261954162,1620261959019
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620261959035,1620261963966
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620261963975,1620261971057
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620261971068,1620261990471
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620261990490,1620261995410
question,/aN9yvTNAZJuRBVufebBoSY/health_group/vaccination_rejection,1620261995424,1620262005157
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620262005168,1620262016125
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620262016170,1620262020182
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620262020195,1620262024969
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620262024984,1620262026645
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620262026659,1620262032673
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620262032687,1620262037050
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620262037061,1620262039800
question,/aN9yvTNAZJuRBVufebBoSY/wash/wash_start,1620262039805,1620262041742
question,/aN9yvTNAZJuRBVufebBoSY/wash/drinking_water_source,1620262041749,1620262050212
question,/aN9yvTNAZJuRBVufebBoSY/wash/domestic_water_source,1620262050221,1620262053479
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines,1620262053490,1620262058109
question,/aN9yvTNAZJuRBVufebBoSY/wash/shared_sanitation,1620262058118,1620262059944
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620262059956,1620262064794
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620262064803,1620262067596
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_waste_drainage,1620262067608,1620262074865
group questions,/aN9yvTNAZJuRBVufebBoSY/wash/water_sufficiency,1620262074875,1620262083523
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620262083568,1620262089957
question,/aN9yvTNAZJuRBVufebBoSY/wash/floods/floods_effects,1620262089972,1620262091645
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620262091655,1620262094251
question,/aN9yvTNAZJuRBVufebBoSY/wash/solid_waste_disposal,1620262094264,1620262102518
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620262102528,1620262104891
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620262104905,1620262106444
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_type_inperson,1620262106454,1620262114976
group questions,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_description,1620262114984,1620262121833
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues,1620262121882,1620262131833
question,/aN9yvTNAZJuRBVufebBoSY/shelter/occupancy_status,1620262131851,1620262144310
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_risk_eviction,1620262144321,1620262147817
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_main_risks,1620262147831,1620262159953
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620262159964,1620262161192
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620262161204,1620262188186
