event,node,start,end
form start,,1620216111863,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620216111865,1620216119382
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620216119391,1620216123016
question,/aN9yvTNAZJuRBVufebBoSY/location,1620216123033,1620216128186
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620216128199,1620216136907
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620216136918,1620216139298
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620216139309,1620216140842
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620216140852,1620216144155
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620216144164,1620216146361
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620216146371,1620216155669
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620216155684,1620216159896
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620216159908,1620216169013
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620216169023,1620216173103
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620216173117,1620216173881
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620216173894,1620216174404
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620216174413,1620216174951
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620216174958,1620216175592
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620216175599,1620216176153
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620216176162,1620216176964
question,/aN9yvTNAZJuRBVufebBoSY/location,1620216176977,1620216177744
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620216177753,1620216178644
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620216178654,1620216182647
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620216182654,1620216183239
question,/aN9yvTNAZJuRBVufebBoSY/location,1620216183250,1620216184023
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620216184037,1620216184788
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620216184798,1620216185407
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620216185419,1620216187570
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620216187578,1620216188728
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620216188739,1620216191213
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620216191229,1620216193680
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620216193696,1620216195033
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620216195044,1620216196664
