event,node,start,end
form start,,1620280683153,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620280683154,1620280685901
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620280685926,1620280688173
question,/aN9yvTNAZJuRBVufebBoSY/location,1620280688185,1620280691288
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620280691301,1620280694372
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620280694387,1620280696871
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620280696883,1620280699038
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/will_to_response_r,1620280699055,1620280706095
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620280706111,1620280708553
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/will_to_response_r,1620280708566,1620280711120
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/relationship,1620280711130,1620280723559
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620280723570,1620280733854
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620280733865,1620280739393
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/sex_head_hh,1620280739400,1620280744108
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620280744116,1620280745406
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620280745415,1620280747726
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620280747739,1620280748978
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/sex_head_hh,1620280748990,1620280751943
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620280751956,1620280756235
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620280756246,1620280758339
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620280758349,1620280759392
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620280759406,1620280761875
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620280761886,1620280790793
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620280790840,1620280792190
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620280792205,1620280795760
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620280795770,1620280801081
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620280801099,1620280802754
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620280802765,1620280813551
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620280813600,1620280814752
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620280814766,1620280837603
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620280837665,1620280868656
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620280868694,1620280916242
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620280916299,1620280919238
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620280919249,1620280926299
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620280926312,1620280931827
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620280931840,1620280944076
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620280944087,1620281098625
