event,node,start,end
form start,,1620227766592,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620227766593,1620227768741
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620227768757,1620227773303
question,/aN9yvTNAZJuRBVufebBoSY/location,1620227773314,1620227778929
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620227778943,1620227782236
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620227782248,1620227784787
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620227784799,1620227787738
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620227787754,1620227792762
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620227792769,1620227834041
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620227834050,1620227836729
form resume,,1620260521873,
jump,,1620260521873,1620260534742
end screen,,1620260534779,1620260536602
constraint error,,1620260536733,
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620260536748,1620260541037
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620260541059,1620260542455
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620260542465,1620260546634
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620260546644,1620260548838
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620260548894,1620260549701
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620260549712,1620260550672
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620260550689,1620260551841
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620260551854,1620260553444
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620260553459,1620260554463
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620260554471,1620260557749
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620260557756,1620260558768
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620260558781,1620260560335
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620260560346,1620260565041
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620260565049,1620260587367
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620260587435,1620260595519
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620260595534,1620260604079
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620260604185,1620260606257
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620260606270,1620260611815
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620260611829,1620260615759
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620260615776,1620260617053
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620260617063,1620260650247
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620260650301,1620260698961
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620260699009,1620260743762
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620260743851,1620260745107
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620260745120,1620260747570
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620260747629,1620260748787
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620260748798,1620260756245
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620260756259,1620260763005
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620260763016,1620260773171
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620260773188,1620260776721
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620260776732,1620260803813
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620260803823,1620260816061
question,/aN9yvTNAZJuRBVufebBoSY/health_group/vaccination_rejection,1620260816073,1620260830489
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620260830497,1620260862384
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_services,1620260862446,1620260879362
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620260879374,1620260885003
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620260885013,1620260897644
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620260897653,1620260900155
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620260900170,1620260909334
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620260909351,1620260914904
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620260914915,1620260922313
question,/aN9yvTNAZJuRBVufebBoSY/wash/wash_start,1620260922323,1620260928923
question,/aN9yvTNAZJuRBVufebBoSY/wash/drinking_water_source,1620260928939,1620260935014
question,/aN9yvTNAZJuRBVufebBoSY/wash/domestic_water_source,1620260935026,1620260944386
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines,1620260944396,1620260962627
question,/aN9yvTNAZJuRBVufebBoSY/wash/shared_sanitation,1620260962638,1620260966376
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_hh_sharing_sanitation,1620260966386,1620260968400
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620260968411,1620260979608
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620260979617,1620260985715
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_waste_drainage,1620260985728,1620260994546
group questions,/aN9yvTNAZJuRBVufebBoSY/wash/water_sufficiency,1620260994557,1620261004597
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620261004631,1620261007973
question,/aN9yvTNAZJuRBVufebBoSY/wash/solid_waste_disposal,1620261007984,1620261014029
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620261014043,1620261016434
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620261016444,1620261018783
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_type_inperson,1620261018801,1620261029006
group questions,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_description,1620261029014,1620261041021
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues,1620261041070,1620261062210
question,/aN9yvTNAZJuRBVufebBoSY/shelter/occupancy_status,1620261062220,1620261069717
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_risk_eviction,1620261069727,1620261074219
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_main_risks,1620261074228,1620261081596
question,/aN9yvTNAZJuRBVufebBoSY/shelter/experienced_threats,1620261081607,1620261085589
question,/aN9yvTNAZJuRBVufebBoSY/shelter/type_of_threats,1620261085597,1620261094885
question,/aN9yvTNAZJuRBVufebBoSY/shelter/coping_mechanism_threats,1620261094899,1620261111166
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620261111174,1620261112152
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620261112165,1620261120757
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/remote_learning,1620261120785,1620261126354
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/dropout,1620261126367,1620261131902
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/catch_up_learning,1620261131913,1620261136704
question,/aN9yvTNAZJuRBVufebBoSY/education/school_pss_services,1620261136717,1620261142049
question,/aN9yvTNAZJuRBVufebBoSY/education/primary_school_place,1620261142060,1620261145680
question,/aN9yvTNAZJuRBVufebBoSY/education/secondary_school_place,1620261145694,1620261147086
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety,1620261147097,1620261153697
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety_concerns,1620261153706,1620261169111
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/livelihoods_start,1620261169127,1620261170260
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety_concerns,1620261170273,1620261172940
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/livelihoods_start,1620261172951,1620261173906
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_income,1620261173916,1620261194273
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/how_much_debt,1620261194285,1620261201418
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/reasons_for_debt,1620261201432,1620261206167
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/debt_due_to_covid,1620261206186,1620261210638
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_expenses,1620261210659,1620261224263
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/expenses,1620261224271,1620261255528
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/working_adults,1620261255561,1620261260760
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/unemployed_adults,1620261260771,1620261263285
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/barriers_to_employment,1620261263296,1620261274302
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working,1620261274317,1620261279483
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/covid_loss_job,1620261279492,1620261285660
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/covid_employment,1620261285674,1620261293479
