event,node,start,end
form start,,1620283338357,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620283338358,1620283340208
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620283340219,1620283342841
question,/aN9yvTNAZJuRBVufebBoSY/location,1620283342854,1620283346128
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620283346139,1620283348415
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620283348430,1620283351047
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620283351055,1620283352996
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620283353008,1620283355863
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620283355873,1620283361283
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620283361297,1620283365001
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620283365010,1620283368064
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620283368074,1620283375060
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620283375115,1620283376242
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620283376251,1620283380981
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620283381027,1620283382432
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620283382440,1620283392668
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620283392721,1620283398243
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620283398252,1620283401922
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620283401934,1620283404480
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620283404494,1620283406127
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620283406138,1620283434433
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620283434494,1620283563846
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620283563888,1620283596402
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620283596460,1620283597683
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620283597693,1620283600454
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620283600466,1620283605866
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620283605877,1620283610273
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620283610286,1620283619918
question,/aN9yvTNAZJuRBVufebBoSY/health_group/hh_member_distress,1620283619977,1620283624314
question,/aN9yvTNAZJuRBVufebBoSY/health_group/child_distress_number,1620283624330,1620283626537
question,/aN9yvTNAZJuRBVufebBoSY/health_group/adult_distress_number,1620283626552,1620283628991
question,/aN9yvTNAZJuRBVufebBoSY/health_group/psychosocial_services,1620283629007,1620283631386
question,/aN9yvTNAZJuRBVufebBoSY/health_group/type_of_pss,1620283631399,1620283637486
question,/aN9yvTNAZJuRBVufebBoSY/health_group/women_specialised_services,1620283637497,1620283639891
question,/aN9yvTNAZJuRBVufebBoSY/wash/wash_start,1620283639902,1620283641013
question,/aN9yvTNAZJuRBVufebBoSY/wash/drinking_water_source,1620283641026,1620283644011
question,/aN9yvTNAZJuRBVufebBoSY/wash/domestic_water_source,1620283644018,1620283646524
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines,1620283646536,1620283650394
question,/aN9yvTNAZJuRBVufebBoSY/wash/shared_sanitation,1620283650404,1620283652833
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_items,1620283652845,1620283659378
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrines_lockable_inside,1620283659387,1620283662246
question,/aN9yvTNAZJuRBVufebBoSY/wash/latrine_waste_drainage,1620283662258,1620283665762
group questions,/aN9yvTNAZJuRBVufebBoSY/wash/water_sufficiency,1620283665776,1620283672427
question,/aN9yvTNAZJuRBVufebBoSY/wash/num_of_floods,1620283672464,1620283674828
question,/aN9yvTNAZJuRBVufebBoSY/wash/solid_waste_disposal,1620283674842,1620283678481
question,/aN9yvTNAZJuRBVufebBoSY/wash/waste_accumulation_days,1620283678495,1620283681707
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_start,1620283681724,1620283683330
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_type_inperson,1620283683339,1620283687791
group questions,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_description,1620283687804,1620283693896
question,/aN9yvTNAZJuRBVufebBoSY/shelter/shelter_issues,1620283693940,1620283697590
question,/aN9yvTNAZJuRBVufebBoSY/shelter/occupancy_status,1620283697600,1620283705374
question,/aN9yvTNAZJuRBVufebBoSY/shelter/hh_risk_eviction,1620283705387,1620283709333
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620283709344,1620283711069
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620283711083,1620283716503
question,/aN9yvTNAZJuRBVufebBoSY/education/education_start,1620283716553,1620283717695
group questions,/aN9yvTNAZJuRBVufebBoSY/education/school_enrollment,1620283717711,1620283730474
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/remote_learning,1620283730507,1620283733998
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/dropout,1620283734012,1620283738600
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/remote_learning,1620283738609,1620283740722
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/dropout,1620283740734,1620283742424
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/drop_out_reason,1620283742437,1620283746525
question,/aN9yvTNAZJuRBVufebBoSY/education/school_going_children/catch_up_learning,1620283746535,1620283750183
question,/aN9yvTNAZJuRBVufebBoSY/education/school_pss_services,1620283750196,1620283755079
question,/aN9yvTNAZJuRBVufebBoSY/education/primary_school_place,1620283755088,1620283758114
question,/aN9yvTNAZJuRBVufebBoSY/education/secondary_school_place,1620283758129,1620283759639
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety,1620283759648,1620283762956
question,/aN9yvTNAZJuRBVufebBoSY/education/school_safety_concerns,1620283762971,1620284102847
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/livelihoods_start,1620284102862,1620284104310
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_income,1620284104322,1620284110362
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/how_much_debt,1620284110377,1620284117721
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/reasons_for_debt,1620284117734,1620284123006
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/debt_due_to_covid,1620284123020,1620284128270
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/tot_expenses,1620284128285,1620284135276
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/expenses,1620284135288,1620284162202
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/working_adults,1620284162231,1620284164679
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/unemployed_adults,1620284164687,1620284168267
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/barriers_to_employment,1620284168280,1620284171065
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working,1620284171077,1620284174573
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working_boys,1620284174585,1620284176631
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/under_18_working_girls,1620284176640,1620284178335
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/covid_loss_job,1620284178349,1620284183712
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/covid_employment,1620284183725,1620284187940
question,/aN9yvTNAZJuRBVufebBoSY/livelihoods/primary_livelihood,1620284187957,1620284335094
group questions,/aN9yvTNAZJuRBVufebBoSY/livelihoods/essential_needs,1620284335125,1620284342181
question,/aN9yvTNAZJuRBVufebBoSY/protection/income_earner,1620284342211,1620284349872
question,/aN9yvTNAZJuRBVufebBoSY/protection/decision_maker,1620284349882,1620284352099
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/security_start,1620284352108,1620284354239
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/feel_unsafe,1620284354249,1620284358463
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/unsafe_locations,1620284358473,1620284403950
question,/aN9yvTNAZJuRBVufebBoSY/protection/security_concerns/unsafe_locations_why,1620284403963,1620284421277
