event,node,start,end
form start,,1623751929271,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623751929274,1623751995162
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751995187,1623751998377
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751998388,1623752120543
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623752120557,1623752131642
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623752131661,1623752171098
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623752171113,1623752207578
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623752207596,1623752212374
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623752212387,1623752216062
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623752216078,1623752220458
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623752220468,1623752225031
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623752225046,1623752228695
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623752228717,1623752231674
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752231687,1623752236336
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752236353,1623752239122
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623752239141,1623752255886
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623752255901,1623752260221
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623752260240,1623752262788
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752262803,1623752589958
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752590000,1623752609038
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752609054,1623752630812
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752630865,1623752645081
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623752645100,1623752649119
