event,node,start,end
form start,,1623754899202,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623754899206,1623754905364
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623754905375,1623754907993
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623754907999,1623754933541
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623754933548,1623754937540
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623754937547,1623754943857
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623754943865,1623754946084
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623754946089,1623754948131
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623754948138,1623754950717
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623754950723,1623754952768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623754952773,1623754955433
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623754955441,1623754959907
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623754959912,1623754966332
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623754966339,1623754968416
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623754968422,1623754998620
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623754998685,1623755005201
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623755005206,1623755007758
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623755007764,1623755012851
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623755012862,1623755021907
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623755021913,1623755025868
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623755025875,1623755028517
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623755028523,1623755055730
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623755055756,1623755666152
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623755666173,1623755728594
