event,node,start,end
form start,,1623750667542,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623750667545,1623750671823
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623750671847,1623750674060
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623750674072,1623750681007
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623750681031,1623750683491
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623750683513,1623750689784
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623750689806,1623750691746
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623750691764,1623750693814
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623750693827,1623750696409
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623750696426,1623750698115
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623750698125,1623750701390
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623750701400,1623750704410
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623750704430,1623750706447
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623750706462,1623750709278
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623750709294,1623750711562
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623750711582,1623750713024
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623750713081,1623750714160
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623750714175,1623750715363
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623750715421,1623750716495
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623750716508,1623750737169
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623750737224,1623750738407
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623750738423,1623750741292
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623750741303,1623750744186
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623750744199,1623750763881
